Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
Slick-master,com.mrezanasirloo.slick.sample.cutstomview,ViewPresenter,2,0,5,5,25,5,0,0,0.0,1,1,/Users/shreyas/Downloads/MVP_Apr/Slick-master/sample-app/src/main/java/com/mrezanasirloo/slick/sample/cutstomview/ViewPresenter.java,26
Slick-master,com.mrezanasirloo.slick.sample.cutstomview,CustomView,2,0,5,3,29,7,0,1,0.6,2,1,/Users/shreyas/Downloads/MVP_Apr/Slick-master/sample-app/src/main/java/com/mrezanasirloo/slick/sample/cutstomview/CustomView.java,30
Slick-master,com.mrezanasirloo.slick.sample.cutstomview,ViewCustomView,0,0,0,0,5,0,2,0,-1.0,2,0,/Users/shreyas/Downloads/MVP_Apr/Slick-master/sample-app/src/main/java/com/mrezanasirloo/slick/sample/cutstomview/ViewCustomView.java,19
Slick-master,com.mrezanasirloo.slick.sample.cutstomview,ActivityCustomView,3,0,2,0,19,2,0,0,0.0,1,1,/Users/shreyas/Downloads/MVP_Apr/Slick-master/sample-app/src/main/java/com/mrezanasirloo/slick/sample/cutstomview/ActivityCustomView.java,24
Slick-master,com.mrezanasirloo.slick.sample.cutstomview,ActivityCustomViewTest,0,0,2,2,19,2,0,0,-1.0,0,2,/Users/shreyas/Downloads/MVP_Apr/Slick-master/test-app/src/androidTest/java/com/mrezanasirloo/slick/sample/cutstomview/ActivityCustomViewTest.java,30
Slick-master,com.mrezanasirloo.slick.sample.cutstomview,CustomView,1,0,7,5,31,7,0,1,0.8571428571428571,0,1,/Users/shreyas/Downloads/MVP_Apr/Slick-master/test-app/src/main/java/com/mrezanasirloo/slick/sample/cutstomview/CustomView.java,32
Slick-master,com.mrezanasirloo.slick.sample.cutstomview,ViewCustomView,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/shreyas/Downloads/MVP_Apr/Slick-master/test-app/src/main/java/com/mrezanasirloo/slick/sample/cutstomview/ViewCustomView.java,21
Slick-master,com.mrezanasirloo.slick.sample.cutstomview,ActivityCustomView,1,0,2,0,13,2,0,0,0.0,0,1,/Users/shreyas/Downloads/MVP_Apr/Slick-master/test-app/src/main/java/com/mrezanasirloo/slick/sample/cutstomview/ActivityCustomView.java,24
Slick-master,com.mrezanasirloo.slick.sample.cutstomview,PresenterCustomView,1,0,4,4,21,4,0,0,0.5,1,1,/Users/shreyas/Downloads/MVP_Apr/Slick-master/test-app/src/main/java/com/mrezanasirloo/slick/sample/cutstomview/PresenterCustomView.java,24
Slick-master,com.mrezanasirloo.slick.sample.cutstomview.dagger,ViewCustomViewDagger,0,0,0,0,5,0,2,0,-1.0,2,0,/Users/shreyas/Downloads/MVP_Apr/Slick-master/sample-app/src/main/java/com/mrezanasirloo/slick/sample/cutstomview/dagger/ViewCustomViewDagger.java,19
