Project Name,Package Name,Architecture Smell,Cause of the Smell
AndroidQuick-main,io.github.sdwfqin.quickseed.ui.components,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [WebViewMainActivity]; [PayPwdInputActivity]; [CustomWebviewActivity]; [ShowSvgActivity]; [WindowFloatAndScreenshotActivity]; [CircleProgressDemoActivity]. LCC (Lack of Component Cohesion) = 1.0
AndroidQuick-main,io.github.sdwfqin.widget,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DecimalEditText]; [CircleProgressView]; [WrapContentHeightViewPager]; [ControlViewPager]; [PayPwdInputView; OnPasswordListener]. LCC (Lack of Component Cohesion) = 0.83
