Project Name,Package Name,Architecture Smell,Cause of the Smell
35_shopmanagement-master,produit,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Categorie; CategorieDAOImpl]; [CategorieIHM]; [Product; ProductDAOImpl]; [ProductIHM]. LCC (Lack of Component Cohesion) = 0.67
35_shopmanagement-master,vente,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Commande; CommandeDAOImpl]; [CommandeIHM]; [Vente; VenteDAOImpl]; [VenteIHM]. LCC (Lack of Component Cohesion) = 0.67
