Project Name,Package Name,Architecture Smell,Cause of the Smell
53_BargainBytesAndroid-master,com.rockspin.bargainbits,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CustomOperators]; [Reverse]; [SkipAndLimit]; [Sum]; [ToList]; [ToSortedList]; [ForEach]; [GlobalGlideModule]; [TimberUtils; CrashReportingTree]. LCC (Lack of Component Cohesion) = 0.9
53_BargainBytesAndroid-master,com.rockspin.bargainbits.data.repository,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.rockspin.apputils.cache.helper
53_BargainBytesAndroid-master,com.rockspin.bargainbits.di.modules,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AndroidFragmentModule; StorePickerDialogFragmentComponent; Builder; EditWatchListEntryDialogFragmentComponent; StoresDrawerFragmentComponent; DealsFragmentComponent]; [Builder]; [Builder]; [Builder]; [CacheModule]; [JsonSerialisationModule]; [SchedulersModule]. LCC (Lack of Component Cohesion) = 0.58
53_BargainBytesAndroid-master,com.rockspin.bargainbits.ui.activities,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.rockspin.bargainbits.ui.views.deallist.view
53_BargainBytesAndroid-master,com.rockspin.bargainbits.ui.dialogs.watchlist,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EditWatchedListEntryView; EditWatchListEntryDialogFragment; IView; EditWatchListEntryPresenter; EditWatchListModel]; [IView]. LCC (Lack of Component Cohesion) = 0.33
53_BargainBytesAndroid-master,com.rockspin.bargainbits.ui.views.deallist,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.rockspin.bargainbits.ui.views.deallist; com.rockspin.bargainbits.ui.views.deallist.view
53_BargainBytesAndroid-master,com.rockspin.bargainbits.ui.views.deallist,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.rockspin.bargainbits.ui.views.deallist.view
53_BargainBytesAndroid-master,com.rockspin.bargainbits.ui.views.deallist.view,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.rockspin.bargainbits.ui.views.deallist.view; com.rockspin.bargainbits.ui.views.deallist
53_BargainBytesAndroid-master,com.rockspin.bargainbits.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Constants]; [DealUtils]; [Feedback]; [NetworkUtils]; [OptionalUtils]; [RxSuccessCache]; [RXTools]. LCC (Lack of Component Cohesion) = 1.0
