Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
MemoryCleaner-master,net.tsz.afinal.core,Queue,add,0,1,1,117
MemoryCleaner-master,net.tsz.afinal.core,Queue,offer,0,1,1,136
MemoryCleaner-master,net.tsz.afinal.core,Queue,remove,0,1,0,155
MemoryCleaner-master,net.tsz.afinal.core,Queue,poll,0,1,0,165
MemoryCleaner-master,net.tsz.afinal.core,Queue,element,0,1,0,173
MemoryCleaner-master,net.tsz.afinal.core,Queue,peek,0,1,0,183
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,newThread,5,1,1,41
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,execute,16,2,1,84
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,run,8,1,0,86
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,scheduleNext,5,2,0,99
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,init,3,1,0,125
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,setDefaultExecutor,3,1,1,130
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,AsyncTask,27,1,0,135
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,call,5,1,0,140
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,done,14,1,0,150
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,postResultIfNotInvoked,6,2,1,166
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,postResult,5,1,1,173
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,getStatus,3,1,0,181
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,doInBackground,0,1,1,190
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,onPreExecute,2,1,0,208
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,onPostExecute,2,1,1,217
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,onProgressUpdate,2,1,1,232
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,onCancelled,3,1,1,244
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,onCancelled,2,1,0,262
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,isCancelled,3,1,0,277
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,cancel,4,1,1,291
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,get,3,1,0,325
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,get,3,1,2,340
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,execute,3,1,1,360
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,executeOnExecutor,15,4,2,392
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,execute,3,1,1,450
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,publishProgress,5,2,1,462
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,finish,9,2,1,483
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,handleMessage,11,3,1,493
MemoryCleaner-master,net.tsz.afinal.core,AsyncTask,AsyncTaskResult,4,1,2,518
MemoryCleaner-master,net.tsz.afinal.core,SerialExecutor,execute,16,2,1,84
MemoryCleaner-master,net.tsz.afinal.core,SerialExecutor,run,8,1,0,86
