Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
android-mvp-architecture-master,com.mindorks.framework.mvp.data.db.model,Question,__setDaoSession,Magic Number,The method contains a magic number: 754833738,197
android-mvp-architecture-master,com.mindorks.framework.mvp.data.db.model,User,User,Magic Number,The method contains a magic number: 1543916479,43
android-mvp-architecture-master,com.mindorks.framework.mvp.data.db.model,User,User,Magic Number,The method contains a magic number: 586692638,51
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network,AppApiHelper,doGoogleLoginApiCall,Long Statement,The length of the statement "return Rx2AndroidNetworking.post(ApiEndPoint.ENDPOINT_GOOGLE_LOGIN).addHeaders(mApiHeader.getPublicApiHeader()).addBodyParameter(request).build().getObjectSingle(LoginResponse.class);" is 183.,49
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network,AppApiHelper,doFacebookLoginApiCall,Long Statement,The length of the statement "return Rx2AndroidNetworking.post(ApiEndPoint.ENDPOINT_FACEBOOK_LOGIN).addHeaders(mApiHeader.getPublicApiHeader()).addBodyParameter(request).build().getObjectSingle(LoginResponse.class);" is 185.,59
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network,AppApiHelper,doServerLoginApiCall,Long Statement,The length of the statement "return Rx2AndroidNetworking.post(ApiEndPoint.ENDPOINT_SERVER_LOGIN).addHeaders(mApiHeader.getPublicApiHeader()).addBodyParameter(request).build().getObjectSingle(LoginResponse.class);" is 183.,69
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network,AppApiHelper,doLogoutApiCall,Long Statement,The length of the statement "return Rx2AndroidNetworking.post(ApiEndPoint.ENDPOINT_LOGOUT).addHeaders(mApiHeader.getProtectedApiHeader()).build().getObjectSingle(LogoutResponse.class);" is 155.,79
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network,AppApiHelper,getBlogApiCall,Long Statement,The length of the statement "return Rx2AndroidNetworking.get(ApiEndPoint.ENDPOINT_BLOG).addHeaders(mApiHeader.getProtectedApiHeader()).build().getObjectSingle(BlogResponse.class);" is 150.,87
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network,AppApiHelper,getOpenSourceApiCall,Long Statement,The length of the statement "return Rx2AndroidNetworking.get(ApiEndPoint.ENDPOINT_OPEN_SOURCE).addHeaders(mApiHeader.getProtectedApiHeader()).build().getObjectSingle(OpenSourceResponse.class);" is 163.,95
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,ApiError,hashCode,Magic Number,The method contains a magic number: 31,82
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,ApiError,hashCode,Magic Number,The method contains a magic number: 31,82
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,BlogResponse,hashCode,Magic Number,The method contains a magic number: 31,78
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,BlogResponse,hashCode,Magic Number,The method contains a magic number: 31,78
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,BlogResponse,equals,Complex Method,Cyclomatic complexity of the method is 8,160
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,BlogResponse,hashCode,Magic Number,The method contains a magic number: 31,176
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,BlogResponse,hashCode,Magic Number,The method contains a magic number: 31,176
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,BlogResponse,hashCode,Magic Number,The method contains a magic number: 31,176
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,BlogResponse,hashCode,Magic Number,The method contains a magic number: 31,176
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,BlogResponse,hashCode,Magic Number,The method contains a magic number: 31,176
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,Blog,equals,Complex Method,Cyclomatic complexity of the method is 8,160
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,Blog,hashCode,Magic Number,The method contains a magic number: 31,176
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,Blog,hashCode,Magic Number,The method contains a magic number: 31,176
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,Blog,hashCode,Magic Number,The method contains a magic number: 31,176
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,Blog,hashCode,Magic Number,The method contains a magic number: 31,176
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,Blog,hashCode,Magic Number,The method contains a magic number: 31,176
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,LoginRequest,hashCode,Magic Number,The method contains a magic number: 31,73
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,LoginRequest,hashCode,Magic Number,The method contains a magic number: 31,125
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,LoginRequest,hashCode,Magic Number,The method contains a magic number: 31,177
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,ServerLoginRequest,hashCode,Magic Number,The method contains a magic number: 31,73
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,GoogleLoginRequest,hashCode,Magic Number,The method contains a magic number: 31,125
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,FacebookLoginRequest,hashCode,Magic Number,The method contains a magic number: 31,177
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,LoginResponse,equals,Complex Method,Cyclomatic complexity of the method is 11,135
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,LoginResponse,equals,Long Statement,The length of the statement "if (serverProfilePicUrl != null ? !serverProfilePicUrl.equals(that.serverProfilePicUrl) : that.serverProfilePicUrl != null) return false;" is 137.,135
android-mvp-architecture-master,com.mindorks.framework.mvp.data.network.model,LoginResponse,equals,Long Statement,The length of the statement "if (fbProfilePicUrl != null ? !fbProfilePicUrl.equals(that.fbProfilePicUrl) : that.fbProfilePicUrl != null) return false;" is 121.,135
