Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails,OtherInfoActivity,getArtistBio,Long Statement,The length of the statement "Retrofit retrofit=new Retrofit.Builder().baseUrl("http://ws.audioscrobbler.com/2.0/").addConverterFactory(ScalarsConverterFactory.create()).build();" is 148.,68
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyAccountService,getAuthorizationHeader,Long Statement,The length of the statement "String encodedData=DatatypeConverter.printBase64Binary((clientId + ":" + clientSecret).getBytes(StandardCharsets.UTF_8));" is 121.,49
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository,RepositoryModule,getSongRepository,Long Statement,The length of the statement "return new SongRepositoryImp(ExternalModule.getInstance().getExternalService()`LocalModule.getInstance().getLocalDB(context));" is 126.,21
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository,RepositoryModule,RepositoryModule,Long Statement,The length of the statement "songRepository=new SongRepositoryImp(ExternalModule.getInstance().getExternalService()`LocalModule.getInstance().getLocalDB());" is 127.,12
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model,SongDescriptionFormatterImp,getSongDescription,Long Statement,The length of the statement "return "Song: " + song.getSongName() + ".\n"+ "Artist: "+ song.getArtistName()+ ".\n"+ "Album: "+ song.getAlbumName()+ ".\n";" is 125.,5
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model,SearchSongModelModule,SearchSongModelModule,Long Statement,The length of the statement "searchSongModel=new SearchSongModelImp(RepositoryModule.getInstance().getSongRepository()`SearchSongPresenterModule.getInstance().getSearchSongPresenter()`new SongDescriptionFormatterImp());" is 190.,12
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model,SongDescriptionFormatterImp,getSongDescription,Long Statement,The length of the statement "return "Song: " + song.getSongName() + ".\n"+ "Artist: "+ song.getArtistName()+ ".\n"+ "Album: "+ song.getAlbumName()+ ".\n";" is 125.,5
41_AyDS-MVP-Projects-master,ayds.spotisong.gaia.otherdetails.fulllogic,OtherInfoActivity,getArtistBio,Complex Conditional,The conditional expression extract == null && yearE == null && image == null is complex.,54
41_AyDS-MVP-Projects-master,ayds.spotisong.gaia.otherdetails.fulllogic,OtherInfoActivity,getArtistBio,Long Statement,The length of the statement "Retrofit retrofit=new Retrofit.Builder().baseUrl("https://api.discogs.com/database/").addConverterFactory(ScalarsConverterFactory.create()).build();" is 148.,54
41_AyDS-MVP-Projects-master,ayds.spotisong.gaia.otherdetails.fulllogic,OtherInfoActivity,run,Complex Conditional,The conditional expression extract == null && yearE == null && image == null is complex.,64
41_AyDS-MVP-Projects-master,ayds.spotisong.gaia.otherdetails.fulllogic,DataBase,createNewDatabase,Long Statement,The length of the statement "statement.executeUpdate("create table albums (id INTEGER PRIMARY KEY AUTOINCREMENT` song string` text string` image_url string` source integer)");" is 146.,7
41_AyDS-MVP-Projects-master,ayds.spotisong.gaia.otherdetails.fulllogic,DataBase,createNewDatabase,Magic Number,The method contains a magic number: 30,7
41_AyDS-MVP-Projects-master,ayds.spotisong.gaia.otherdetails.fulllogic,DataBase,testDB,Magic Number,The method contains a magic number: 30,29
41_AyDS-MVP-Projects-master,ayds.spotisong.gaia.otherdetails.fulllogic,DataBase,saveAlbumInfo,Magic Number,The method contains a magic number: 30,76
41_AyDS-MVP-Projects-master,ayds.spotisong.gaia.otherdetails.fulllogic,DataBase,getText,Magic Number,The method contains a magic number: 30,109
41_AyDS-MVP-Projects-master,ayds.spotisong.gaia.otherdetails.fulllogic,DataBase,getImageUrl,Magic Number,The method contains a magic number: 30,146
41_AyDS-MVP-Projects-master,ayds.spotisong.gaia.otherdetails.fulllogic,OtherInfoWindow,getArtistBio,Complex Conditional,The conditional expression extract == null && yearE == null && image == null is complex.,27
41_AyDS-MVP-Projects-master,ayds.spotisong.gaia.otherdetails.fulllogic,OtherInfoWindow,getArtistBio,Empty catch clause,The method has an empty catch block.,27
41_AyDS-MVP-Projects-master,ayds.spotisong.gaia.otherdetails.fulllogic,OtherInfoWindow,getArtistBio,Long Statement,The length of the statement "Retrofit retrofit=new Retrofit.Builder().baseUrl("https://api.discogs.com/database/").addConverterFactory(ScalarsConverterFactory.create()).build();" is 148.,27
41_AyDS-MVP-Projects-master,ayds.spotisong.gaia.otherdetails.fulllogic,OtherInfoWindow,getArtistBio,Magic Number,The method contains a magic number: 300,27
