Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails,DataBase,createNewDatabase,3,1,1,15
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails,DataBase,testDB,9,2,0,20
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails,DataBase,saveArtistInfo,8,1,3,34
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails,DataBase,getBio,7,2,1,43
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails,DataBase,getImageUrl,7,2,1,54
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails,LastFMAPI,getArtistInfo,0,1,1,10
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails,OtherInfoActivity,onCreate,13,1,1,48
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails,OtherInfoActivity,getArtistBio,56,5,1,68
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails,OtherInfoActivity,run,49,5,0,78
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails,OtherInfoActivity,run,4,1,0,133
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails,OtherInfoActivity,init,11,1,0,143
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails,OtherInfoActivity,run,6,1,0,146
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails,OtherInfoActivity,textToHtml,6,1,2,157
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails.room,ArtistDao,getAll,0,1,0,12
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails.room,ArtistDao,findByName,0,1,1,15
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails.room,ArtistDao,insert,0,1,1,18
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails.room,ArtistDataBase,artistDao,0,1,0,8
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails.room,ArtistEntity,getId,3,1,0,15
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails.room,ArtistEntity,setId,3,1,1,19
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails.room,ArtistEntity,getArtist,3,1,0,23
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails.room,ArtistEntity,setArtist,3,1,1,27
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails.room,ArtistEntity,getBio,3,1,0,31
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails.room,ArtistEntity,setBio,3,1,1,35
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails.room,ArtistEntity,getImage_url,3,1,0,39
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails.room,ArtistEntity,setImage_url,3,1,1,43
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails.room,ArtistEntity,getSource,3,1,0,47
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.otherdetails.room,ArtistEntity,setSource,3,1,1,51
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external,ExternalModule,ExternalModule,2,1,0,9
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external,ExternalModule,getInstance,6,2,0,12
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external,ExternalModule,getExternalService,3,1,0,19
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external,ExternalService,getSong,0,1,1,7
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external,ExternalModule,ExternalModule,2,1,0,9
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external,ExternalModule,getInstance,6,2,0,12
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external,ExternalModule,getExternalService,3,1,0,19
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external,ExternalService,getSong,0,1,1,7
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,JsonToSongResolver,getSongFromExternalData,19,1,1,13
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,JsonToTokenResolver,getTokenFromExternalData,5,1,1,14
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyAccountService,SpotifyAccountService,3,1,1,27
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyAccountService,getToken,7,2,0,31
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyAccountService,getTokenFromService,3,1,0,39
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyAccountService,getAuthorizationBody,3,1,0,43
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyAccountService,getAuthorizationHeader,4,1,0,48
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyAccountService,getStringToken,3,1,1,53
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyAPI,getToken,0,1,2,10
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyAPI,getTrackInfo,0,1,2,13
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyModule,SpotifyModule,6,1,0,11
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyModule,getInstance,6,2,0,18
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyModule,getExternalService,3,1,0,25
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyService,SpotifyService,4,1,2,21
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyService,getSong,4,1,1,26
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyService,getSongFromService,3,1,1,32
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyToSongResolver,getSongFromExternalData,0,1,1,7
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyToTokenResolver,getTokenFromExternalData,0,1,1,5
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,JsonToSongResolver,getSongFromExternalData,19,1,1,12
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,JsonToTokenResolver,getTokenFromExternalData,5,1,1,11
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyAccountService,SpotifyAccountService,3,1,1,28
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyAccountService,getToken,7,2,0,32
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyAccountService,getTokenFromService,3,1,0,40
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyAccountService,getAuthorizationBody,3,1,0,44
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyAccountService,getAuthorizationHeader,4,1,0,49
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyAccountService,getStringToken,3,1,1,55
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyAPI,getToken,0,1,2,10
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyAPI,getTrackInfo,0,1,2,13
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyModule,SpotifyModule,6,1,0,11
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyModule,getInstance,6,2,0,19
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyModule,getExternalService,3,1,0,26
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyService,SpotifyService,4,1,2,21
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyService,getSong,4,1,1,26
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyService,getSongFromService,3,1,1,32
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyToSongResolver,getSongFromExternalData,0,1,1,7
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.external.spotify,SpotifyToTokenResolver,getTokenFromExternalData,0,1,1,5
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.local,LocalDB,saveSong,0,1,1,7
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.local,LocalDB,getSong,0,1,1,9
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.local,LocalModule,LocalModule,2,1,0,11
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.local,LocalModule,getInstance,6,2,0,13
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.local,LocalModule,getLocalDB,3,1,1,20
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.local,LocalDB,saveSong,0,1,1,7
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.local,LocalDB,getSong,0,1,1,9
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.local,LocalModule,LocalModule,2,1,0,10
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.local,LocalModule,getInstance,6,2,0,13
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.local,LocalModule,getLocalDB,3,1,0,20
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.local.room,RoomDB,RoomDB,3,1,1,13
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.local.room,RoomDB,saveSong,8,1,1,17
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.local.room,RoomDB,getSong,7,2,1,26
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.local.room,RoomModule,RoomModule,2,1,0,11
41_AyDS-MVP-Projects-master,ayds.spotisong.aurora.song.model.repository.local.room,RoomModule,getInstance,6,2,0,13
