Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
26_DormManagementSystem-master,com.apub.dorm.aop,TraceAdvice,beforeRequestTrace,Long Statement,The length of the statement "System.out.println("Triggered Feedback " + joinPoint.getSignature().getName() + "() method at server time "+ LocalTime.now());" is 126.,15
26_DormManagementSystem-master,com.apub.dorm.aop,TraceAdvice,beforeRequestTrace,Long Statement,The length of the statement "System.out.println("Exception Occured While Processing:: " + joinPoint.getSignature().getName() + " at server time "+ LocalTime.now());" is 135.,27
26_DormManagementSystem-master,com.apub.dorm.controller,BuildingInfoController,getBuilding,Long Statement,The length of the statement "if (building.getId() != null) model.addAttribute("roomsByBuilding"`buildingService.findRoomByBuildingId(building.getId()));" is 123.,27
26_DormManagementSystem-master,com.apub.dorm.controller,MaintenanceController,viewMaintenanceRequest,Magic Number,The method contains a magic number: 207,84
26_DormManagementSystem-master,com.apub.dorm.domain,Building,toString,Long Statement,The length of the statement "return "Building [id=" + id + "` buildingName="+ buildingName+ "` buildingAddress="+ buildingAddress+ "` buildingType="+ buildingType+ "` buildingNo="+ buildingNo+ "` rooms="+ rooms+ "` roomIds="+ roomIds+ "]";" is 210.,104
26_DormManagementSystem-master,com.apub.dorm.domain,CheckInFormData,toString,Long Statement,The length of the statement "return "CheckInFormData [id=" + Arrays.toString(id) + "` itemName="+ Arrays.toString(itemName)+ "` description="+ Arrays.toString(description)+ "` available="+ Arrays.toString(available)+ "` status="+ Arrays.toString(status)+ "]";" is 230.,65
26_DormManagementSystem-master,com.apub.dorm.domain,CheckOutFormData,toString,Long Statement,The length of the statement "return "CheckOutFormData [id=" + Arrays.toString(id) + "` itemName="+ Arrays.toString(itemName)+ "` description="+ Arrays.toString(description)+ "` previousStatus="+ Arrays.toString(previousStatus)+ "` currentStatus="+ Arrays.toString(currentStatus)+ "]";" is 255.,60
26_DormManagementSystem-master,com.apub.dorm.domain,Room,toString,Long Statement,The length of the statement "return "Room [id=" + id + "` building="+ building+ "` students="+ students+ "` items="+ items+ "` roomNo="+ roomNo+ "` roomStatus="+ roomStatus+ "` itemIds="+ itemIds+ "]";" is 172.,111
26_DormManagementSystem-master,com.apub.dorm.exception,AppException,main,Magic Number,The method contains a magic number: 111,102
26_DormManagementSystem-master,com.apub.dorm.exception,AppException,main,Magic Number,The method contains a magic number: 888,102
