Project Name,Package Name,Architecture Smell,Cause of the Smell
7_NeedforSpear-master,tr.edu.ku.devnull.needforspear.Model.GameData,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: tr.edu.ku.devnull.needforspear.Model.GameData; tr.edu.ku.devnull.needforspear.Model.UIModels
7_NeedforSpear-master,tr.edu.ku.devnull.needforspear.Model.GameData,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: tr.edu.ku.devnull.needforspear.Model.GameData; tr.edu.ku.devnull.needforspear.Model.UIModels; tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers
7_NeedforSpear-master,tr.edu.ku.devnull.needforspear.Model.GameData,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: tr.edu.ku.devnull.needforspear.Model.GameData; tr.edu.ku.devnull.needforspear.Model.UIModels; tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers; tr.edu.ku.devnull.needforspear.Model.Obstacle
7_NeedforSpear-master,tr.edu.ku.devnull.needforspear.Model.GameData,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: tr.edu.ku.devnull.needforspear.Model.GameData; tr.edu.ku.devnull.needforspear.Model.UIModels; tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers; tr.edu.ku.devnull.needforspear.Model.Obstacle; tr.edu.ku.devnull.needforspear.Model.Spell
7_NeedforSpear-master,tr.edu.ku.devnull.needforspear.Model.GameData,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): tr.edu.ku.devnull.needforspear.Model.UIModels; tr.edu.ku.devnull.needforspear.Viewmodel.GameHandlers; tr.edu.ku.devnull.needforspear.Model.Player; tr.edu.ku.devnull.needforspear.Viewmodel.Database
7_NeedforSpear-master,tr.edu.ku.devnull.needforspear.Model.GameData,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Constants; ProportionConstants; UIConstants; ObstacleNameConstants; ArrayConstants; Location; Size; GameInfo; GameMap; SavedMapEntry]; [SphereConstantSpeeds]; [ObstacleNumberConstants]; [SpellNameConstants]; [MessageConstants]; [SoundConstants]; [Speed; SpeedTest]. LCC (Lack of Component Cohesion) = 0.41
7_NeedforSpear-master,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 8.63. All the dependencies among components: from: tr.edu.ku.devnull.needforspear.Model.GameData to: tr.edu.ku.devnull.needforspear.Model.UIModels; from: tr.edu.ku.devnull.needforspear.Model.GameData to: tr.edu.ku.devnull.needforspear.Viewmodel.GameHandlers; from: tr.edu.ku.devnull.needforspear.Model.GameData to: tr.edu.ku.devnull.needforspear.Model.Player; from: tr.edu.ku.devnull.needforspear.Model.GameData to: tr.edu.ku.devnull.needforspear.Viewmodel.Database; from: tr.edu.ku.devnull.needforspear.Model.Obstacle to: tr.edu.ku.devnull.needforspear.Model.GameData; from: tr.edu.ku.devnull.needforspear.Model.Obstacle to: tr.edu.ku.devnull.needforspear.Model.Spell; from: tr.edu.ku.devnull.needforspear.Model.Obstacle to: tr.edu.ku.devnull.needforspear; from: tr.edu.ku.devnull.needforspear.Model.Obstacle to: tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers; from: tr.edu.ku.devnull.needforspear.Model.Player to: tr.edu.ku.devnull.needforspear.Viewmodel.MailVerification; from: tr.edu.ku.devnull.needforspear.Model.Player to: tr.edu.ku.devnull.needforspear.Model.GameData; from: tr.edu.ku.devnull.needforspear.Model.Spell to: tr.edu.ku.devnull.needforspear.Model.GameData; from: tr.edu.ku.devnull.needforspear.Model.Spell to: tr.edu.ku.devnull.needforspear.Model.UIModels; from: tr.edu.ku.devnull.needforspear.Model.Spell to: tr.edu.ku.devnull.needforspear.View.PlayViews.Animators; from: tr.edu.ku.devnull.needforspear.Model.Spell to: tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers; from: tr.edu.ku.devnull.needforspear.Model.Spell to: tr.edu.ku.devnull.needforspear.Model.Obstacle; from: tr.edu.ku.devnull.needforspear.Model.Spell to: tr.edu.ku.devnull.needforspear; from: tr.edu.ku.devnull.needforspear.Model.Spell.YmirSpells to: tr.edu.ku.devnull.needforspear.Model.GameData; from: tr.edu.ku.devnull.needforspear.Model.Spell.YmirSpells to: tr.edu.ku.devnull.needforspear; from: tr.edu.ku.devnull.needforspear.Model.Spell.YmirSpells to: tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers; from: tr.edu.ku.devnull.needforspear.Model.UIModels to: tr.edu.ku.devnull.needforspear.Model.GameData; from: tr.edu.ku.devnull.needforspear.Model.UIModels to: tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers; from: tr.edu.ku.devnull.needforspear.Model.UIModels to: tr.edu.ku.devnull.needforspear; from: tr.edu.ku.devnull.needforspear.Model.UIModels to: tr.edu.ku.devnull.needforspear.View.PlayViews; from: tr.edu.ku.devnull.needforspear.Model.UIModels to: tr.edu.ku.devnull.needforspear.View.AuthViews; from: tr.edu.ku.devnull.needforspear.Model.Ymir to: tr.edu.ku.devnull.needforspear.Model.Spell.YmirSpells; from: tr.edu.ku.devnull.needforspear.Model.Ymir to: tr.edu.ku.devnull.needforspear.Model.GameData; from: tr.edu.ku.devnull.needforspear.Model.Ymir to: tr.edu.ku.devnull.needforspear; from: tr.edu.ku.devnull.needforspear to: tr.edu.ku.devnull.needforspear.Model.UIModels; from: tr.edu.ku.devnull.needforspear to: tr.edu.ku.devnull.needforspear.Viewmodel.State; from: tr.edu.ku.devnull.needforspear to: tr.edu.ku.devnull.needforspear.Model.GameData; from: tr.edu.ku.devnull.needforspear to: tr.edu.ku.devnull.needforspear.Model.Ymir; from: tr.edu.ku.devnull.needforspear to: tr.edu.ku.devnull.needforspear.Viewmodel.GameHandlers; from: tr.edu.ku.devnull.needforspear.View.AuthViews to: tr.edu.ku.devnull.needforspear.Model.UIModels; from: tr.edu.ku.devnull.needforspear.View.AuthViews to: tr.edu.ku.devnull.needforspear.Model.GameData; from: tr.edu.ku.devnull.needforspear.View.AuthViews to: tr.edu.ku.devnull.needforspear; from: tr.edu.ku.devnull.needforspear.View.AuthViews to: tr.edu.ku.devnull.needforspear.Viewmodel.AuthHandler; from: tr.edu.ku.devnull.needforspear.View.PlayViews.Animators to: tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers; from: tr.edu.ku.devnull.needforspear.View.PlayViews.Animators to: tr.edu.ku.devnull.needforspear.Model.UIModels; from: tr.edu.ku.devnull.needforspear.View.PlayViews.Animators to: tr.edu.ku.devnull.needforspear.Model.GameData; from: tr.edu.ku.devnull.needforspear.View.PlayViews.Animators to: tr.edu.ku.devnull.needforspear; from: tr.edu.ku.devnull.needforspear.View.PlayViews.Animators to: tr.edu.ku.devnull.needforspear.Model.Obstacle; from: tr.edu.ku.devnull.needforspear.View.PlayViews.Animators to: tr.edu.ku.devnull.needforspear.Model.Spell; from: tr.edu.ku.devnull.needforspear.View.PlayViews to: tr.edu.ku.devnull.needforspear.Model.Obstacle; from: tr.edu.ku.devnull.needforspear.View.PlayViews to: tr.edu.ku.devnull.needforspear.Model.Player; from: tr.edu.ku.devnull.needforspear.View.PlayViews to: tr.edu.ku.devnull.needforspear.Model.GameData; from: tr.edu.ku.devnull.needforspear.View.PlayViews to: tr.edu.ku.devnull.needforspear.Model.UIModels; from: tr.edu.ku.devnull.needforspear.View.PlayViews to: tr.edu.ku.devnull.needforspear; from: tr.edu.ku.devnull.needforspear.View.PlayViews to: tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers; from: tr.edu.ku.devnull.needforspear.View.PlayViews to: tr.edu.ku.devnull.needforspear.Viewmodel.AuthHandler; from: tr.edu.ku.devnull.needforspear.View.PlayViews to: tr.edu.ku.devnull.needforspear.Viewmodel.GameHandlers; from: tr.edu.ku.devnull.needforspear.Viewmodel.AuthHandler to: tr.edu.ku.devnull.needforspear.Model.Player; from: tr.edu.ku.devnull.needforspear.Viewmodel.AuthHandler to: tr.edu.ku.devnull.needforspear.Model.GameData; from: tr.edu.ku.devnull.needforspear.Viewmodel.AuthHandler to: tr.edu.ku.devnull.needforspear; from: tr.edu.ku.devnull.needforspear.Viewmodel.AuthHandler to: tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers; from: tr.edu.ku.devnull.needforspear.Viewmodel.Database to: tr.edu.ku.devnull.needforspear.Model.Player; from: tr.edu.ku.devnull.needforspear.Viewmodel.Database to: tr.edu.ku.devnull.needforspear.Model.GameData; from: tr.edu.ku.devnull.needforspear.Viewmodel.Database to: tr.edu.ku.devnull.needforspear; from: tr.edu.ku.devnull.needforspear.Viewmodel.GameHandlers to: tr.edu.ku.devnull.needforspear.Model.GameData; from: tr.edu.ku.devnull.needforspear.Viewmodel.GameHandlers to: tr.edu.ku.devnull.needforspear; from: tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers to: tr.edu.ku.devnull.needforspear.Model.GameData; from: tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers to: tr.edu.ku.devnull.needforspear.Model.Obstacle; from: tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers to: tr.edu.ku.devnull.needforspear.View.PlayViews.Animators; from: tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers to: tr.edu.ku.devnull.needforspear.Model.UIModels; from: tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers to: tr.edu.ku.devnull.needforspear; from: tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers to: tr.edu.ku.devnull.needforspear.Model.Spell; from: tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers to: tr.edu.ku.devnull.needforspear.Model.Spell.YmirSpells; from: tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers to: tr.edu.ku.devnull.needforspear.View.PlayViews; from: tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers to: tr.edu.ku.devnull.needforspear.Model.Player; from: tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers to: tr.edu.ku.devnull.needforspear.Viewmodel.Util; from: tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers to: tr.edu.ku.devnull.needforspear.Viewmodel.GameHandlers; from: tr.edu.ku.devnull.needforspear.Viewmodel.State to: tr.edu.ku.devnull.needforspear; from: tr.edu.ku.devnull.needforspear.Viewmodel.State to: tr.edu.ku.devnull.needforspear.View.AuthViews; from: tr.edu.ku.devnull.needforspear.Viewmodel.State to: tr.edu.ku.devnull.needforspear.View.PlayViews; from: tr.edu.ku.devnull.needforspear.Viewmodel.Util to: tr.edu.ku.devnull.needforspear.Model.UIModels; from: tr.edu.ku.devnull.needforspear.Viewmodel.Util to: tr.edu.ku.devnull.needforspear.Model.Obstacle; from: tr.edu.ku.devnull.needforspear.Viewmodel.Util to: tr.edu.ku.devnull.needforspear.Model.GameData; from: tr.edu.ku.devnull.needforspear.Viewmodel.Util to: tr.edu.ku.devnull.needforspear.Viewmodel.GameHandlers; from: tr.edu.ku.devnull.needforspear.Viewmodel.Util to: tr.edu.ku.devnull.needforspear; from: tr.edu.ku.devnull.needforspear.Model.Util to: tr.edu.ku.devnull.needforspear.Model.UIModels; from: tr.edu.ku.devnull.needforspear.Model.Util to: tr.edu.ku.devnull.needforspear.Model.Obstacle; from: tr.edu.ku.devnull.needforspear.Model.Util to: tr.edu.ku.devnull.needforspear.Viewmodel.Util; from: tr.edu.ku.devnull.needforspear.Model.Util to: tr.edu.ku.devnull.needforspear.
7_NeedforSpear-master,tr.edu.ku.devnull.needforspear.Model.Obstacle,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: tr.edu.ku.devnull.needforspear.Model.Obstacle; tr.edu.ku.devnull.needforspear.Model.Spell
7_NeedforSpear-master,tr.edu.ku.devnull.needforspear.Model.Obstacle,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: tr.edu.ku.devnull.needforspear.Model.Obstacle; tr.edu.ku.devnull.needforspear.Model.Spell; tr.edu.ku.devnull.needforspear.View.PlayViews.Animators
7_NeedforSpear-master,tr.edu.ku.devnull.needforspear.Model.Obstacle,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: tr.edu.ku.devnull.needforspear.Model.Obstacle; tr.edu.ku.devnull.needforspear.Model.GameData; tr.edu.ku.devnull.needforspear.Model.UIModels; tr.edu.ku.devnull.needforspear.Viewmodel.GameLogicHandlers
