Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
14_Spring-master,io.codefountain.spring.boot.okta.client,SecurityConfiguration,configure,Long Statement,The length of the statement "http.antMatcher("/**").authorizeRequests().antMatchers("/").permitAll().anyRequest().authenticated().and().oauth2Login();" is 121.,10
14_Spring-master,io.codefountain.spring.boot.authserver,AuthServerConfig,configure,Long Statement,The length of the statement "clients.inMemory().withClient(ClientID).secret(passwordEncoder.encode(ClientSecret)).authorizedGrantTypes("authorization_code").scopes("user_info").autoApprove(true).redirectUris(RedirectURLs);" is 193.,34
14_Spring-master,io.codefountain.spring.boot.authserver,SecurityConfiguration,configure,Long Statement,The length of the statement "http.requestMatchers().antMatchers("/login"`"/oauth/authorize").and().authorizeRequests().anyRequest().authenticated().and().formLogin().permitAll();" is 149.,21
14_Spring-master,io.codefountain.spring.todo,SpringBootTodoAppApplication,run,Long Statement,The length of the statement "Collection<Todo> todos=Arrays.asList(new Todo("Learn Spring"`"Yes")`new Todo("Learn Driving"`"No")`new Todo("Go for a Walk"`"No")`new Todo("Cook Dinner"`"Yes"));" is 161.,24
14_Spring-master,io.codefountain.spring.todo,SpringSecurityBasicsTodoAppApplication,run,Long Statement,The length of the statement "Collection<Todo> todos=Arrays.asList(new Todo("Learn Spring"`"Yes")`new Todo("Learn Driving"`"No")`new Todo("Go for a Walk"`"No")`new Todo("Cook Dinner"`"Yes"));" is 161.,24
14_Spring-master,io.codefountain.spring.mvc.court.config,ExceptionResolverConfiguration,handlerExceptionResolver,Long Identifier,The length of the identifier simpleMappingExceptionResolver is 30.,23
14_Spring-master,io.codefountain.spring.mvc.court.controller,EmployeeController,loadEmployees,Magic Number,The method contains a magic number: 2,19
14_Spring-master,io.codefountain.spring.mvc.court.controller,EmployeeController,loadEmployees,Magic Number,The method contains a magic number: 3,19
14_Spring-master,io.codefountain.spring.mvc.court.controller,EmployeeController,loadEmployees,Magic Number,The method contains a magic number: 4,19
14_Spring-master,io.codefountain.spring.mvc.court.controller,EmployeeController,loadEmployees,Magic Number,The method contains a magic number: 5,19
14_Spring-master,io.codefountain.spring.mvc.court.domain,Reservation,Reservation,Long Parameter List,The method has 5 parameters. ,14
14_Spring-master,io.codefountain.spring.mvc.court.domain,Reservation,toString,Long Statement,The length of the statement "return "Reservation{" + "courtName='" + courtName + '\''+ "` date="+ date+ "` hour="+ hour+ "` player="+ player+ "` sportType="+ sportType+ '}';" is 144.,42
14_Spring-master,io.codefountain.spring.mvc.court.service,DefaultReservationService,DefaultReservationService,Magic Number,The method contains a magic number: 16,23
14_Spring-master,io.codefountain.spring.mvc.court.service,DefaultReservationService,DefaultReservationService,Magic Number,The method contains a magic number: 20,23
14_Spring-master,io.codefountain.spring.mvc.court.service,DefaultReservationService,query,Long Statement,The length of the statement "return this.reservations.stream().filter(reservation -> Objects.equals(reservation.getCourtName()`courtName)).collect(Collectors.toList());" is 139.,30
14_Spring-master,io.codefountain.spring.mvc.config,ExceptionHandlerConfig,configureHandlerExceptionResolvers,Long Identifier,The length of the identifier simpleMappingExceptionResolver is 30.,18
14_Spring-master,io.codefountain.spring.mvc.config,ViewResolverConfiguration,contentNegotiatingViewResolver,Long Identifier,The length of the identifier contentNegotiatingViewResolver is 30.,62
14_Spring-master,io.codefountain.spring.mvc.controllers,FeatureController,getNewFeature,Long Statement,The length of the statement "Feature feature1=new Feature("F-001"`"Self Healing"`"Automated recovery from certain application failures"`"2.12.1"`new String[]{"Jack"`"Ram"`"Meera"});" is 152.,16
14_Spring-master,io.codefountain.spring.mvc.controllers,FeatureController,getNewFeature,Long Statement,The length of the statement "Feature feature2=new Feature("F-002"`"Sortable Table View"`"Table data can now be sorted using columns"`"2.12.1"`new String[]{"Snigdha"`"Jack"`"Pawan"});" is 153.,16
14_Spring-master,io.codefountain.spring.mvc.controllers,FeatureController,getNewFeature,Long Statement,The length of the statement "Feature feature3=new Feature("F-003"`"Conguable Data Source"`"Configuration support for pluggable database"`"2.12.1"`new String[]{"Jason"`"Tim"`"Meera"});" is 154.,16
14_Spring-master,io.codefountain.spring.mvc.main,ApplicationServletContainerInitializer,onStartup,Long Identifier,The length of the identifier applicationServletRegistration is 30.,17
14_Spring-master,io.codefountain.spring.mvc.service,DefaultReservationService,DefaultReservationService,Magic Number,The method contains a magic number: 8,22
14_Spring-master,io.codefountain.spring.mvc.service,DefaultReservationService,DefaultReservationService,Magic Number,The method contains a magic number: 8,22
14_Spring-master,io.codefountain.spring.mvc.service,DefaultReservationService,query,Long Statement,The length of the statement "return reservations.stream().filter(reservation -> Objects.equals(reservation.getCourtName()`courtName)).collect(Collectors.toList());" is 134.,28
14_Spring-master,io.codefountain.spring.mvc.service,DefaultReservationService,DefaultReservationService,Magic Number,The method contains a magic number: 8,23
14_Spring-master,io.codefountain.spring.mvc.service,DefaultReservationService,DefaultReservationService,Magic Number,The method contains a magic number: 8,23
14_Spring-master,io.codefountain.spring.mvc.service,DefaultReservationService,query,Long Statement,The length of the statement "return reservations.stream().filter(reservation -> Objects.equals(reservation.getCourtName()`courtName)).collect(Collectors.toList());" is 134.,29
14_Spring-master,io.codefountain.spring.mvc.service,DefaultReservationService,addNewReservation,Long Statement,The length of the statement "long currentReservations=reservations.stream().filter(reservationItr -> Objects.equals(reservationItr.getCourtName()`reservation.getCourtName())).filter(reservationItr -> Objects.equals(reservationItr.getDate()`reservation.getDate())).filter(reservationItr -> Objects.equals(reservationItr.getHour()`reservation.getHour())).count();" is 332.,35
14_Spring-master,io.codefountain.spring.mvc.sci.main,ApplicationServletContainerInitializer,onStartup,Long Identifier,The length of the identifier annotationConfigWebApplicationContext is 37.,17
14_Spring-master,io.codefountain.spring.rest.service,MovieRepository,MovieRepository,Magic Number,The method contains a magic number: 2,16
14_Spring-master,io.codefountain.spring.rest.service,MovieRepository,MovieRepository,Magic Number,The method contains a magic number: 2,16
14_Spring-master,io.codefountain.spring.rest.service,MovieRepository,MovieRepository,Magic Number,The method contains a magic number: 3,16
14_Spring-master,io.codefountain.spring.rest.service,MovieRepository,MovieRepository,Magic Number,The method contains a magic number: 3,16
14_Spring-master,io.codefountain.spring.rest.service,MovieRepository,MovieRepository,Magic Number,The method contains a magic number: 4,16
14_Spring-master,io.codefountain.spring.rest.service,MovieRepository,MovieRepository,Magic Number,The method contains a magic number: 4,16
14_Spring-master,io.codefountain.spring.rest.service,MovieRepository,MovieRepository,Magic Number,The method contains a magic number: 5,16
14_Spring-master,io.codefountain.spring.rest.service,MovieRepository,MovieRepository,Magic Number,The method contains a magic number: 5,16
14_Spring-master,io.codefountain.spring.rest.service,MovieRepository,MovieRepository,Magic Number,The method contains a magic number: 6,16
14_Spring-master,io.codefountain.spring.rest.service,MovieRepository,MovieRepository,Magic Number,The method contains a magic number: 6,16
14_Spring-master,io.codefountain.spring.todo.security,TodoJdbcSecurityConfig,configure,Long Statement,The length of the statement "http.authorizeRequests().antMatchers("/h2-console/**").hasAnyRole("ADMIN").anyRequest().authenticated().and().formLogin().and().csrf().ignoringAntMatchers("/h2-console/**").and().headers().frameOptions().sameOrigin();" is 217.,28
14_Spring-master,io.codefountain.spring.todo.security,TodoSecurityConfig,configure,Long Statement,The length of the statement "auth.inMemoryAuthentication().withUser("cook").password("{noop}iamcook").authorities("USER").and().withUser("chef").password("{noop}iamchef").authorities("USER"`"ADMIN");" is 170.,15
