Project Name,Package Name,Architecture Smell,Cause of the Smell
CodeSmells-in-application-MVP-2,com.jess.arms.integration.cache,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.jess.arms.integration.cache; com.jess.arms.utils; com.jess.arms.integration; com.jess.arms.base.delegate
CodeSmells-in-application-MVP-2,com.jess.arms.integration.cache,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.jess.arms.utils
CodeSmells-in-application-MVP-2,com.jess.arms.mvp,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.jess.arms.mvp; com.jess.arms.utils
CodeSmells-in-application-MVP-2,com.jess.arms.mvp,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.jess.arms.mvp; com.jess.arms.integration; com.jess.arms.utils
CodeSmells-in-application-MVP-2,com.jess.arms.mvp,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.jess.arms.mvp; com.jess.arms.integration; com.jess.arms.integration.cache; com.jess.arms.utils
CodeSmells-in-application-MVP-2,com.jess.arms.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.jess.arms.utils; com.jess.arms.integration
CodeSmells-in-application-MVP-2,com.jess.arms.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.jess.arms.utils; com.jess.arms.integration; com.jess.arms.integration.cache
CodeSmells-in-application-MVP-2,com.jess.arms.utils,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.jess.arms.integration; com.jess.arms.base; com.jess.arms.mvp
CodeSmells-in-application-MVP-2,com.jess.arms.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ArmsUtils; Preconditions; RxLifecycleUtils]; [CharacterHandler]; [DataHelper]; [DeviceUtils]; [DrawableProvider; FastBlur]; [LogUtils]; [PermissionUtil; RequestPermission]; [ThirdViewUtil]; [UrlEncoderUtils]; [ZipHelper]. LCC (Lack of Component Cohesion) = 0.71
CodeSmells-in-application-MVP-2,com.jess.arms.widget.autolayout,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AutoAppBarLayout; LayoutParams; AutoCollapsingToolbarLayout; AutoRadioGroup; AutoScrollView; AutoToolbar]; [AutoCardView]; [LayoutParams]; [LayoutParams]; [LayoutParams]; [AutoTabLayout]; [LayoutParams]. LCC (Lack of Component Cohesion) = 0.58
CodeSmells-in-application-MVP-2,me.jessyan.mvparms.demo.app,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ActivityLifecycleCallbacksImpl; GlobalConfiguration; GlobalHttpHandlerImpl; ResponseErrorListenerImpl; AppLifecyclesImpl; FragmentLifecycleCallbacksImpl]; [EventBusTags]. LCC (Lack of Component Cohesion) = 0.29
