Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
90_MyAppMVP-master,com.demo.myappmvp,ApplicationTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
90_MyAppMVP-master,com.demo.myappmvp,BasePresenter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
90_MyAppMVP-master,com.demo.myappmvp,BaseView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
90_MyAppMVP-master,com.demo.myappmvp.adapter,MainActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
90_MyAppMVP-master,com.demo.myappmvp.addedittask,AddEditTaskActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: REQUEST_ADD_TASK; SHOULD_LOAD_DATA_FROM_REPO_KEY; mAddEditTaskPresenter
90_MyAppMVP-master,com.demo.myappmvp.addedittask,AddEditTaskPresenter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
90_MyAppMVP-master,com.demo.myappmvp.data.entity,ProductEntity,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseEntity
90_MyAppMVP-master,com.demo.myappmvp.data.entity,ProductEntity,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
90_MyAppMVP-master,com.demo.myappmvp.data.entity,ListBean,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
90_MyAppMVP-master,com.demo.myappmvp.data.http,VolleyRequest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BASIC_WWW_URL; TEXT_BASIC_WWW_URL; API_URL; PL; spUtil; LOAD_DATA_UTIL
