Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getLoginInterface,Magic Number,The method contains a magic number: 50,54
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getLoginInterface,Magic Number,The method contains a magic number: 40,54
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getLoginInterface,Magic Number,The method contains a magic number: 620,54
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getLoginInterface,Magic Number,The method contains a magic number: 450,54
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getLoginInterface,Magic Number,The method contains a magic number: 180,54
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getLoginInterface,Magic Number,The method contains a magic number: 40,54
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getLoginInterface,Magic Number,The method contains a magic number: 15,54
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getLoginInterface,Magic Number,The method contains a magic number: 1000,54
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getLoginInterface,Magic Number,The method contains a magic number: 600,54
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getLoginInterface,Magic Number,The method contains a magic number: 450,54
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getLoginInterface,Magic Number,The method contains a magic number: 620,54
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getSignUpInterface,Complex Method,Cyclomatic complexity of the method is 9,144
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getSignUpInterface,Long Statement,The length of the statement "else if (lastName.getText().isEmpty()) GUITools.openDialogOk("Erreur"`null`"Il faut saisir un prénom"`Alert.AlertType.ERROR);" is 126.,144
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getSignUpInterface,Long Statement,The length of the statement "else if (emailTxt.getText().isEmpty()) GUITools.openDialogOk("Erreur"`null`"Il faut saisir un email"`Alert.AlertType.ERROR);" is 124.,144
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getSignUpInterface,Long Statement,The length of the statement "else if (passwordField1.getText().isEmpty()) GUITools.openDialogOk("Erreur"`null`"Il faut saisir un mot de passe"`Alert.AlertType.ERROR);" is 137.,144
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getSignUpInterface,Long Statement,The length of the statement "else if (passwordField2.getText().isEmpty()) GUITools.openDialogOk("Erreur"`null`"Il faut confirmer le mot de passe"`Alert.AlertType.ERROR);" is 140.,144
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getSignUpInterface,Long Statement,The length of the statement "else if (!passwordField1.getText().equals(passwordField2.getText())) GUITools.openDialogOk("Erreur"`null`"Les mots de passe ne sont pas compatibles"`Alert.AlertType.ERROR);" is 172.,144
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getSignUpInterface,Magic Number,The method contains a magic number: 70,144
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getSignUpInterface,Magic Number,The method contains a magic number: 25,144
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getSignUpInterface,Magic Number,The method contains a magic number: 15,144
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getSignUpInterface,Magic Number,The method contains a magic number: 620,144
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getSignUpInterface,Magic Number,The method contains a magic number: 450,144
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getSignUpInterface,Magic Number,The method contains a magic number: 180,144
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getSignUpInterface,Magic Number,The method contains a magic number: 450,144
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getSignUpInterface,Magic Number,The method contains a magic number: 620,144
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getSignUpInterface,Magic Number,The method contains a magic number: 450,144
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getSignUpInterface,Magic Number,The method contains a magic number: 620,144
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getAdminPanel,Magic Number,The method contains a magic number: 50,250
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getAdminPanel,Magic Number,The method contains a magic number: 10,250
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getAdminPanel,Magic Number,The method contains a magic number: 10,250
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getAdminPanel,Magic Number,The method contains a magic number: 40,250
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getAdminPanel,Magic Number,The method contains a magic number: 10,250
40_ClothesShop-master,com.bondif.clothesshop.controllers,AdminController,getAdminPanel,Magic Number,The method contains a magic number: 10,250
40_ClothesShop-master,com.bondif.clothesshop.controllers,AppController,launch,Magic Number,The method contains a magic number: 450,45
40_ClothesShop-master,com.bondif.clothesshop.controllers,AppController,launch,Magic Number,The method contains a magic number: 620,45
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Long Method,The method has 102 lines of code.,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 20,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 10,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 100,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 200,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 28,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 40,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 10,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 2,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 200,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 100,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 50,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 400,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 100,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 50,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 100,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 100,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 2,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 2,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 20,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 40,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 20,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 10,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCategoryForm,Magic Number,The method contains a magic number: 10,46
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCreateCategoryForm,Magic Number,The method contains a magic number: 100,174
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCreateCategoryForm,Magic Number,The method contains a magic number: 5,174
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCreateCategoryForm,Magic Number,The method contains a magic number: 2,174
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCreateCategoryForm,Magic Number,The method contains a magic number: 20,174
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCreateCategoryForm,Magic Number,The method contains a magic number: 60,174
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCreateCategoryForm,Magic Number,The method contains a magic number: 10,174
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,getCreateCategoryForm,Magic Number,The method contains a magic number: 10,174
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,deleteCategory,Long Statement,The length of the statement "if (GUITools.openDialogYesNo("sûr?"`null`"Etes-vous sûr de supprimer la catégorie : " + c.getTitle()`Alert.AlertType.WARNING)) {" is 131.,231
40_ClothesShop-master,com.bondif.clothesshop.controllers,CategoriesController,updateCategory,Long Statement,The length of the statement "if (GUITools.openDialogYesNo("sûr?"`null`"Etes-vous sûr de modifier la catégorie: " + c.getTitle() + " à "+ (tfcategory.getText()).trim()`Alert.AlertType.CONFIRMATION)) {" is 174.,246
40_ClothesShop-master,com.bondif.clothesshop.controllers,CustomersController,createCustomerPane,Long Method,The method has 110 lines of code.,31
40_ClothesShop-master,com.bondif.clothesshop.controllers,CustomersController,createCustomerPane,Long Statement,The length of the statement "customersList.getColumns().addAll(idColumn`codeColumn`firstNameColumn`lastNameColumn`phoneColumn`addressColumn`emailColumn);" is 124.,31
40_ClothesShop-master,com.bondif.clothesshop.controllers,CustomersController,createCustomerPane,Long Statement,The length of the statement "confirmation=GUITools.messageBox(Alert.AlertType.CONFIRMATION`"Suppression d'un client"`null`"Vous voulez vaiment supprimer le client : " + selectedItem.getFirstName() + " "+ selectedItem.getLastName());" is 203.,31
40_ClothesShop-master,com.bondif.clothesshop.controllers,CustomersController,createCustomerPane,Magic Number,The method contains a magic number: 100,31
40_ClothesShop-master,com.bondif.clothesshop.controllers,CustomersController,createCustomerPane,Magic Number,The method contains a magic number: 100,31
40_ClothesShop-master,com.bondif.clothesshop.controllers,CustomersController,createCustomerPane,Magic Number,The method contains a magic number: 100,31
40_ClothesShop-master,com.bondif.clothesshop.controllers,CustomersController,createCustomerPane,Magic Number,The method contains a magic number: 200,31
