Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
57_Headline-master,com.nmid.headline,BasePresenter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
57_Headline-master,com.nmid.headline,BaseView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
57_Headline-master,com.nmid.headline.about,AboutActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
57_Headline-master,com.nmid.headline.about,Presenter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
57_Headline-master,com.nmid.headline.courselist,CourseListActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
57_Headline-master,com.nmid.headline.courselist,Presenter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
57_Headline-master,com.nmid.headline.data.bean,Course,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 32 public methods
57_Headline-master,com.nmid.headline.data.bean,CourseResult,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
57_Headline-master,com.nmid.headline.data.bean,HttpResults,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
57_Headline-master,com.nmid.headline.data.bean,Image,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
57_Headline-master,com.nmid.headline.data,CourseRepository,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CourseRepository; SingletonHolder
57_Headline-master,com.nmid.headline.data,SingletonHolder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: sInstance
57_Headline-master,com.nmid.headline.data,SingletonHolder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: sInstance
57_Headline-master,com.nmid.headline.data,SingletonHolder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
57_Headline-master,com.nmid.headline.data,LoadDetailCallback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
57_Headline-master,com.nmid.headline.data,SingletonHolder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: sInstance
57_Headline-master,com.nmid.headline.data,SingletonHolder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
57_Headline-master,com.nmid.headline.data.source.local,ACache,Feature Envy,The tool detected a instance of this smell because put is more interested in members of the type: ACacheManager
57_Headline-master,com.nmid.headline.data.source.local,ACache,Feature Envy,The tool detected a instance of this smell because put is more interested in members of the type: ACacheManager
57_Headline-master,com.nmid.headline.data.source.local,ACache,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TIME_HOUR; TIME_DAY; MAX_SIZE; MAX_COUNT; mInstanceMap; mCache; cacheSize; cacheCount; sizeLimit; countLimit; lastUsageDates; cacheDir; mSeparator
57_Headline-master,com.nmid.headline.data.source.local,ACache,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 30 public methods
57_Headline-master,com.nmid.headline.data.source.remote,CourseHttp,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SingletonHolder; CourseHttp
57_Headline-master,com.nmid.headline.data.source.remote,SingletonHolder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: sInstance
57_Headline-master,com.nmid.headline.data.source.remote,SingletonHolder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: sInstance
57_Headline-master,com.nmid.headline.data.source.remote,SingletonHolder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
57_Headline-master,com.nmid.headline.detailwebview,DetailWebViewActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BUNDLE_NEW; BUNDLE_TEACHER; BUNDLE_TYPE; TYPE_NEW; TYPE_TEACHER; webContainer; mPresenter
57_Headline-master,com.nmid.headline.detailwebview,DetailWebViewActivity,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: DetailWebViewActivity; DetailWebViewPresenter
57_Headline-master,com.nmid.headline.detailwebview,Presenter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
57_Headline-master,com.nmid.headline.favoritelist,FavoriteListActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
57_Headline-master,com.nmid.headline.launcher,MainActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
57_Headline-master,com.nmid.headline.launcher.newspage,NewsListAdapter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: inflater; context; news; onItemClickListener; title; info; image1; image2; image3; itemNews
57_Headline-master,com.nmid.headline.launcher.newspage,Presenter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
57_Headline-master,com.nmid.headline.launcher.newspage,NewsPageFragment,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
57_Headline-master,com.nmid.headline.launcher.teacherlist,TeacherListAdapter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: inflater; context; teachers; onItemClickListener; teacherIcon; teacherName; itemTeacher
