Project Name,Package Name,Architecture Smell,Cause of the Smell
12_POS-master,ipisa.proyectofinal.clases,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Almacen; Producto]; [Categoria]; [Cliente]; [Conexion]; [DetalleFac]; [Empleado]; [Factura]; [Pago]; [Persona]; [Suplidores]; [Usuario]. LCC (Lack of Component Cohesion) = 0.92
12_POS-master,ipisa.proyectofinal.frontend,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AgreCategoria]; [AgreCliente]; [AgreEmpleado]; [AgreProducto]; [AgreSuplidor]; [AgreUsuarios]; [Login2]; [MainApp]; [PagoFacPendi]; [Problemas]; [Prueba]; [ReaCategoria]; [ReaCliente]; [ReaEmpleado]; [ReaSuplidor]; [ReaUsuario]; [RegCategoria]; [RegCliente]; [RegEmpleado]; [RegFactura]; [RegFacturacion]; [RegProducto]; [RegSuplidor]; [RegUsuario]; [VerCategorias]; [VerCliente]; [VerDetalleFac]; [VerEmpleados]; [VerProductos]; [VerSuplidores]. LCC (Lack of Component Cohesion) = 1.0
12_POS-master,ipisa.proyectofinal.models,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Falmacen]; [Fcategoria]; [Fcliente]; [Fcompra]; [Fempleado]; [Ffactura]; [Fpago]; [Fpersona]; [Fsuplidores]; [Fusuario]. LCC (Lack of Component Cohesion) = 1.0
12_POS-master,ipisa.proyectofinal.tablemodels,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TableModelsAlmacen]; [TableModelsCategoria]; [TableModelsCliente]; [TableModelsCompra]; [TableModelsDetalleFac]; [TableModelsEmpleado]; [TableModelsFactura]; [TableModelsProducto]; [TableModelsSuplidores]; [TableModelsUsuario]. LCC (Lack of Component Cohesion) = 1.0
