Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android.data.logger,AndroidLogger,AndroidLogger,Long Statement,The length of the statement "this.tag=cls.getSimpleName().length() > MAX_TAG_LENGTH ? cls.getSimpleName().substring(0`MAX_TAG_LENGTH - 1) : cls.getSimpleName();" is 131.,13
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android.data.logger,AndroidLogger,AndroidLogger,Long Statement,The length of the statement "this.tag=cls.getSimpleName().length() > MAX_TAG_LENGTH ? cls.getSimpleName().substring(0`MAX_TAG_LENGTH - 1) : cls.getSimpleName();" is 131.,13
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android.data.logger,AndroidLogger,AndroidLogger,Long Statement,The length of the statement "this.tag=cls.getSimpleName().length() > MAX_TAG_LENGTH ? cls.getSimpleName().substring(0`MAX_TAG_LENGTH - 1) : cls.getSimpleName();" is 131.,13
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android.data.searchhistory,SearchHistoryDbHelper,onCreate,Long Statement,The length of the statement "db.execSQL("CREATE TABLE " + SearchHistoryEntry.TABLE_NAME + "("+ BaseColumns._ID+ " INTEGER PRIMARY KEY`"+ SearchHistoryEntry.COLUMN_NAME_SEARCH_QUERY+ " TEXT UNIQUE)");" is 170.,20
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android.data.searchhistory,SqliteSearchHistoryDataSource,getAll,Long Statement,The length of the statement "String searchHistoryItemQuery=cursor.getString(cursor.getColumnIndexOrThrow(SearchHistoryEntry.COLUMN_NAME_SEARCH_QUERY));" is 122.,24
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android.data.searchhistory,SearchHistoryDbHelper,onCreate,Long Statement,The length of the statement "db.execSQL("CREATE TABLE " + SearchHistoryEntry.TABLE_NAME + "("+ BaseColumns._ID+ " INTEGER PRIMARY KEY`"+ SearchHistoryEntry.COLUMN_NAME_SEARCH_QUERY+ " TEXT UNIQUE)");" is 170.,20
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android.data.searchhistory,SqliteSearchHistoryDataSource,getAll,Long Statement,The length of the statement "String searchHistoryItemQuery=cursor.getString(cursor.getColumnIndexOrThrow(SearchHistoryEntry.COLUMN_NAME_SEARCH_QUERY));" is 122.,24
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android.data.searchhistory,SearchHistoryDbHelper,onCreate,Long Statement,The length of the statement "db.execSQL("CREATE TABLE " + SearchHistoryEntry.TABLE_NAME + "("+ BaseColumns._ID+ " INTEGER PRIMARY KEY`"+ SearchHistoryEntry.COLUMN_NAME_SEARCH_QUERY+ " TEXT UNIQUE)");" is 170.,20
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.android.data.searchhistory,SqliteSearchHistoryDataSource,getAll,Long Statement,The length of the statement "String searchHistoryItemQuery=cursor.getString(cursor.getColumnIndexOrThrow(SearchHistoryEntry.COLUMN_NAME_SEARCH_QUERY));" is 122.,24
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.domain.models,User,toString,Long Statement,The length of the statement "return MoreObjects.toStringHelper(this).add("login"`login).add("avatarUrl"`avatarUrl).add("name"`name).add("company"`company).add("blog"`blog).add("location"`location).toString();" is 179.,67
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.domain.models,User,toString,Long Statement,The length of the statement "return MoreObjects.toStringHelper(this).add("login"`login).add("avatarUrl"`avatarUrl).add("name"`name).add("company"`company).add("blog"`blog).add("location"`location).toString();" is 179.,67
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.domain.models,User,toString,Long Statement,The length of the statement "return MoreObjects.toStringHelper(this).add("login"`login).add("avatarUrl"`avatarUrl).add("name"`name).add("company"`company).add("blog"`blog).add("location"`location).toString();" is 179.,67
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.domain.usecases,GetSearchHistoryUseCaseTest,testExecute,Magic Number,The method contains a magic number: 2,30
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.domain.usecases,SearchUsersUseCaseTest,testExecute,Long Identifier,The length of the identifier searchHistoryItemArgumentCaptor is 31.,42
11_android-clean-architecture-samples-master,com.wasisto.githubuserfinder.domain.usecases,SearchUsersUseCaseTest,testExecute,Magic Number,The method contains a magic number: 2,42
