Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
9_TODOShare-master,ua.com.mcgray.domain,ToDo,hashCode,Long Statement,The length of the statement "return new HashCodeBuilder().appendSuper(super.hashCode()).append(this.done).append(this.dueDate).append(this.title).append(this.note).toHashCode();" is 148.,100
9_TODOShare-master,ua.com.mcgray.domain,ToDo,equals,Long Statement,The length of the statement "return new EqualsBuilder().appendSuper(super.equals(obj)).append(this.done`other.done).append(this.dueDate`other.dueDate).append(this.title`other.title).append(this.note`other.note).isEquals();" is 193.,110
9_TODOShare-master,ua.com.mcgray.domain,ToDo,toString,Long Statement,The length of the statement "return new ToStringCreator(this).append("id"`this.getId()).append("done"`this.done).append("dueDate"`this.dueDate).append("title"`this.title).append("note"`this.note).toString();" is 178.,126
9_TODOShare-master,ua.com.mcgray.domain,ToDoShareAccount,hashCode,Long Statement,The length of the statement "return new HashCodeBuilder().appendSuper(super.hashCode()).append(this.nickname).append(this.firstName).append(this.lastName).toHashCode();" is 139.,91
9_TODOShare-master,ua.com.mcgray.domain,ToDoShareAccount,equals,Long Statement,The length of the statement "return new EqualsBuilder().appendSuper(super.equals(obj)).append(this.nickname`other.nickname).append(this.firstName`other.firstName).append(this.lastName`other.lastName).isEquals();" is 182.,100
9_TODOShare-master,ua.com.mcgray.domain,ToDoShareAccount,toString,Long Statement,The length of the statement "return new ToStringCreator(this).append("id"`this.getId()).append("nickname"`this.nickname).append("firstName"`this.firstName).append("lastName"`this.lastName).toString();" is 171.,116
9_TODOShare-master,ua.com.mcgray.domain,User,hashCode,Long Statement,The length of the statement "return new HashCodeBuilder().appendSuper(super.hashCode()).append(this.emailAddress).append(this.password).append(this.active).toHashCode();" is 140.,122
9_TODOShare-master,ua.com.mcgray.domain,User,equals,Long Statement,The length of the statement "return new EqualsBuilder().appendSuper(super.equals(obj)).append(this.emailAddress`other.emailAddress).append(this.password`other.password).append(this.active`other.active).isEquals();" is 184.,131
9_TODOShare-master,ua.com.mcgray.domain,User,toString,Long Statement,The length of the statement "return new ToStringCreator(this).append("id"`this.getId()).append("emailAddress"`this.emailAddress).append("password"`this.password).append("active"`this.active).toString();" is 173.,147
9_TODOShare-master,ua.com.mcgray.dto,ToDoDocument,hashCode,Long Statement,The length of the statement "return new HashCodeBuilder().append(this.id).append(this.originalId).append(this.title).append(this.content).toHashCode();" is 122.,68
9_TODOShare-master,ua.com.mcgray.dto,ToDoDocument,equals,Long Statement,The length of the statement "return new EqualsBuilder().append(this.id`other.id).append(this.originalId`other.originalId).append(this.title`other.title).append(this.content`other.content).isEquals();" is 170.,76
9_TODOShare-master,ua.com.mcgray.dto,ToDoDocument,toString,Long Statement,The length of the statement "return "ToDoDocument{" + "id='" + id + '\''+ "` originalId="+ originalId+ "` title='"+ title+ '\''+ "` content='"+ content+ '\''+ '}';" is 134.,91
9_TODOShare-master,ua.com.mcgray.dto,ToDoForm,hashCode,Long Statement,The length of the statement "return new HashCodeBuilder().append(this.id).append(this.ownerId).append(this.listId).append(this.done).append(this.dueDate).append(this.title).append(this.note).toHashCode();" is 175.,114
9_TODOShare-master,ua.com.mcgray.dto,ToDoForm,equals,Long Statement,The length of the statement "return new EqualsBuilder().append(this.id`other.id).append(this.ownerId`other.ownerId).append(this.listId`other.listId).append(this.done`other.done).append(this.dueDate`other.dueDate).append(this.title`other.title).append(this.note`other.note).isEquals();" is 255.,126
9_TODOShare-master,ua.com.mcgray.dto,ToDoForm,toString,Long Statement,The length of the statement "return new ToStringCreator(this).append("id"`this.getId()).append("ownerId"`this.ownerId).append("listId"`this.listId).append("done"`this.done).append("dueDate"`this.dueDate).append("title"`this.title).append("note"`this.note).toString();" is 238.,145
9_TODOShare-master,ua.com.mcgray.dto,ToDoShareAccountForm,hashCode,Long Statement,The length of the statement "return new HashCodeBuilder().append(this.id).append(this.nickname).append(this.firstName).append(this.lastName).append(this.userId).toHashCode();" is 145.,73
9_TODOShare-master,ua.com.mcgray.dto,ToDoShareAccountForm,equals,Long Statement,The length of the statement "return new EqualsBuilder().append(this.id`other.id).append(this.nickname`other.nickname).append(this.firstName`other.firstName).append(this.lastName`other.lastName).append(this.userId`other.userId).isEquals();" is 209.,83
9_TODOShare-master,ua.com.mcgray.dto,ToDoShareAccountForm,toString,Long Statement,The length of the statement "return new ToStringCreator(this).append("id"`this.getId()).append("nickname"`this.nickname).append("firstName"`this.firstName).append("lastName"`this.lastName).append("userId"`this.userId).toString();" is 200.,100
9_TODOShare-master,ua.com.mcgray.dto,UserForm,hashCode,Long Statement,The length of the statement "return new HashCodeBuilder().append(this.id).append(this.emailAddress).append(this.password).append(this.repeatPassword).append(this.toDoShareAccountId).toHashCode();" is 166.,70
9_TODOShare-master,ua.com.mcgray.dto,UserForm,equals,Long Statement,The length of the statement "return new EqualsBuilder().append(this.id`other.id).append(this.emailAddress`other.emailAddress).append(this.password`other.password).append(this.repeatPassword`other.repeatPassword).append(this.toDoShareAccountId`other.toDoShareAccountId).isEquals();" is 251.,80
9_TODOShare-master,ua.com.mcgray.dto,UserForm,toString,Long Statement,The length of the statement "return new ToStringCreator(this).append("id"`this.getId()).append(this.emailAddress).append(this.password).append(this.repeatPassword).append(this.toDoShareAccountId).toString();" is 178.,97
9_TODOShare-master,ua.com.mcgray.service,ToDoDocumentService,convert,Long Statement,The length of the statement "content.append(toDo.getId()).append(" ").append(toDo.getTitle()).append(" ").append(toDo.getNote()).append(" ").append(toDo.getDueDate()).append(" ");" is 150.,36
9_TODOShare-master,ua.com.mcgray.web,SolrSearchController,search,Magic Number,The method contains a magic number: 10,26
9_TODOShare-master,ua.com.mcgray.web,SolrSearchController,searchPage,Magic Number,The method contains a magic number: 10,33
9_TODOShare-master,ua.com.mcgray.web,ToDoController,update,Long Parameter List,The method has 5 parameters. ,71
9_TODOShare-master,ua.com.mcgray.web,ToDoController,save,Long Parameter List,The method has 5 parameters. ,76
9_TODOShare-master,ua.com.mcgray.web,ToDoController,saveOrUpdate,Long Parameter List,The method has 5 parameters. ,81
9_TODOShare-master,ua.com.mcgray.web,ControllerTest,testToDoEdit,Magic Number,The method contains a magic number: 12L,93
9_TODOShare-master,ua.com.mcgray.web,ControllerTest,testToDoEdit,Magic Number,The method contains a magic number: 12L,93
9_TODOShare-master,ua.com.mcgray.web,ControllerTest,testListData,Long Statement,The length of the statement "mockMvc.perform(get("/todo/listdata").accept(MediaType.APPLICATION_JSON).principal(authentication).param("page"`"0").param("size"`"10").param("sort"`"id`desc")).andExpect(content().contentType("application/json")).andExpect(jsonPath("$.totalElements").value(is(0)));" is 266.,102
9_TODOShare-master,ua.com.mcgray.web,ControllerTest,testListData,Magic Number,The method contains a magic number: 10,102
9_TODOShare-master,ua.com.mcgray.web,ControllerTest,testToDoList,Long Statement,The length of the statement "mockMvc.perform(get("/todo/list").principal(authentication)).andExpect(view().name("todo-list")).andExpect(model().attribute("toDoForm"`new ToDoForm())).andExpect(model().attribute("todoList"`Collections.<ToDoForm>emptyList()));" is 228.,119
9_TODOShare-master,ua.com.mcgray.web,ControllerTest,testToDoUpdate,Long Statement,The length of the statement "mockMvc.perform(put("/todo/12").principal(authentication).param("id"`"12").param("title"`"Some title").param("note"`"Some note").param("dueDate"`"20-05-2013")).andExpect(status().is3xxRedirection());" is 199.,132
9_TODOShare-master,ua.com.mcgray.web,ToDoControllerTest,testToDoList,Long Statement,The length of the statement "mockMvc.perform(get("/todo/list").principal(authentication)).andExpect(status().isOk()).andExpect(view().name("todo-list"));" is 124.,57
9_TODOShare-master,ua.com.mcgray.repository,ToDoSharePersistenceTest,testThatUserAccountCanBeFound,Magic Number,The method contains a magic number: 2,49
9_TODOShare-master,ua.com.mcgray.repository,ToDoSharePersistenceTest,testThatToDoShareAccountHasListsAndToDos,Magic Number,The method contains a magic number: 2,57
9_TODOShare-master,ua.com.mcgray.repository,ToDoSharePersistenceTest,testThatToDoShareAccountHasListsAndToDos,Magic Number,The method contains a magic number: 2,57
