Project Name,Package Name,Architecture Smell,Cause of the Smell
androidone-master,de.greenrobot.daogenerator,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ContentProvider]; [Index]; [Property; DaoUtil; Entity; DaoGenerator]; [PropertyBuilder]; [PropertyOrderList]; [Schema]; [ToOne]; [ToMany]; [Query; QueryParam]. LCC (Lack of Component Cohesion) = 0.69
androidone-master,com.sd.one.widget,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ClearEditText]; [PagerSlidingTabStrip; PageListener; SavedState]; [IconTabProvider]; [CompaScrollerListView]; [NoScrollGridView]; [NoScrollerListView]. LCC (Lack of Component Cohesion) = 0.75
androidone-master,com.sd.one.widget.dialog,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CommonDialog; BaseDialog; MessageDialog; MenuDialog; OnMenuItemClickListener; DragListViewDialog]; [LoadDialog]; [BottomMenuDialog]. LCC (Lack of Component Cohesion) = 0.38
androidone-master,com.sd.one.activity,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseApplication]; [BaseFragment]; [MainActivity]; [SplashActivity; BaseActivity; GuideActivity]. LCC (Lack of Component Cohesion) = 0.67
androidone-master,com.sd.one.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sd.one.utils; com.sd.one.common.manager
androidone-master,com.sd.one.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sd.one.utils; com.sd.one.common.manager; com.sd.one.common.parse
androidone-master,com.sd.one.utils,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sd.one.common.manager
androidone-master,com.sd.one.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [StringUtils; NLog; DateStyle; DateUtils; FileUtils; VersionUpdateService]; [BitmapUtils; CommonUtils]; [NToast]. LCC (Lack of Component Cohesion) = 0.33
androidone-master,com.sd.one.utils.db.gen,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DaoSession; PurchaseDao; AddressDao; OrderDao; CustomerDao; DaoMaster; OpenHelper; DevOpenHelper; ProductDao]; [Properties]; [Properties]; [Properties]; [Properties]; [Properties]. LCC (Lack of Component Cohesion) = 0.43
androidone-master,com.sd.one.utils.encrypt,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Base64OutputStream; Base64; BackAES; AESUtils; Base64InputStream; Shared]; [MD5]. LCC (Lack of Component Cohesion) = 0.29
androidone-master,com.sd.one.common.parse,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sd.one.common.parse; com.sd.one.utils; com.sd.one.common.manager
androidone-master,com.sd.one.common.manager,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sd.one.common.manager; com.sd.one.utils
androidone-master,com.sd.one.common.manager,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sd.one.common.manager; com.sd.one.common.parse; com.sd.one.utils
androidone-master,com.sd.one.common.manager,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sd.one.common.parse
