Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
1_FindMeHomeApp-master,com.example.findmehomeapp,IntroActivity,onCreate,Magic Number,The method contains a magic number: 3000,12
1_FindMeHomeApp-master,com.example.findmehomeapp,ExampleUnitTest,addition_isCorrect,Magic Number,The method contains a magic number: 4,13
1_FindMeHomeApp-master,com.example.findmehomeapp,ExampleUnitTest,addition_isCorrect,Magic Number,The method contains a magic number: 2,13
1_FindMeHomeApp-master,com.example.findmehomeapp,ExampleUnitTest,addition_isCorrect,Magic Number,The method contains a magic number: 2,13
1_FindMeHomeApp-master,com.example.findmehomeapp.Model,Model,refreshPostsList,Long Statement,The length of the statement "Long lastUpdateDate=MyApplication.getContext().getSharedPreferences("TAG"`Context.MODE_PRIVATE).getLong("PostsLastUpdateDate"`0);" is 129.,63
1_FindMeHomeApp-master,com.example.findmehomeapp.Model,Model,refreshPostsList,Long Statement,The length of the statement "MyApplication.getContext().getSharedPreferences("TAG"`Context.MODE_PRIVATE).edit().putLong("PostsLastUpdateDate"`lud).commit();" is 127.,63
1_FindMeHomeApp-master,com.example.findmehomeapp.Model,Model,onComplete,Long Statement,The length of the statement "MyApplication.getContext().getSharedPreferences("TAG"`Context.MODE_PRIVATE).edit().putLong("PostsLastUpdateDate"`lud).commit();" is 127.,71
1_FindMeHomeApp-master,com.example.findmehomeapp.Model,Model,run,Long Statement,The length of the statement "MyApplication.getContext().getSharedPreferences("TAG"`Context.MODE_PRIVATE).edit().putLong("PostsLastUpdateDate"`lud).commit();" is 127.,75
1_FindMeHomeApp-master,com.example.findmehomeapp.Model,Model,refreshUserPostsList,Long Statement,The length of the statement "Long lastUpdateDate=MyApplication.getContext().getSharedPreferences("TAG"`Context.MODE_PRIVATE).getLong("PostsLastUpdateDate"`0);" is 129.,113
1_FindMeHomeApp-master,com.example.findmehomeapp.Model,Model,refreshUserPostsList,Long Statement,The length of the statement "MyApplication.getContext().getSharedPreferences("TAG"`Context.MODE_PRIVATE).edit().putLong("PostsLastUpdateDate"`lud).commit();" is 127.,113
1_FindMeHomeApp-master,com.example.findmehomeapp.Model,Model,onComplete,Long Statement,The length of the statement "MyApplication.getContext().getSharedPreferences("TAG"`Context.MODE_PRIVATE).edit().putLong("PostsLastUpdateDate"`lud).commit();" is 127.,122
1_FindMeHomeApp-master,com.example.findmehomeapp.Model,Model,run,Long Statement,The length of the statement "MyApplication.getContext().getSharedPreferences("TAG"`Context.MODE_PRIVATE).edit().putLong("PostsLastUpdateDate"`lud).commit();" is 127.,126
1_FindMeHomeApp-master,com.example.findmehomeapp.Model,ModelFirebase,addUser,Long Statement,The length of the statement "firebaseAuth.createUserWithEmailAndPassword(user.email`password).addOnCompleteListener(new OnCompleteListener<AuthResult>(){" is 124.,47
1_FindMeHomeApp-master,com.example.findmehomeapp.Model,ModelFirebase,addUser,Long Statement,The length of the statement "db.collection(User.COLLECTION_NAME).document(user.getId()).set(json).addOnSuccessListener(unused -> listener.onComplete(user)).addOnFailureListener(e -> listener.onComplete(user));" is 180.,47
1_FindMeHomeApp-master,com.example.findmehomeapp.Model,ModelFirebase,addUser,Long Statement,The length of the statement "Toast.makeText(MyApplication.getContext()`"Sorry` your email already exists` please try another one."`Toast.LENGTH_LONG).show();" is 128.,47
1_FindMeHomeApp-master,com.example.findmehomeapp.Model,ModelFirebase,onComplete,Long Statement,The length of the statement "db.collection(User.COLLECTION_NAME).document(user.getId()).set(json).addOnSuccessListener(unused -> listener.onComplete(user)).addOnFailureListener(e -> listener.onComplete(user));" is 180.,50
1_FindMeHomeApp-master,com.example.findmehomeapp.Model,ModelFirebase,onFailure,Long Statement,The length of the statement "Toast.makeText(MyApplication.getContext()`"Sorry` your email already exists` please try another one."`Toast.LENGTH_LONG).show();" is 128.,68
1_FindMeHomeApp-master,com.example.findmehomeapp.Model,ModelFirebase,savePost,Long Statement,The length of the statement "db.collection(Post.COLLECTION_NAME).document(post.getId()).set(json).addOnSuccessListener(unused -> listener.onComplete()).addOnFailureListener(e -> listener.onFailure());" is 171.,101
1_FindMeHomeApp-master,com.example.findmehomeapp.Model,ModelFirebase,getAllPosts,Long Statement,The length of the statement "db.collection(Post.COLLECTION_NAME).whereGreaterThanOrEqualTo("updateDate"`new Timestamp(lastUpdateDate`0)).get().addOnCompleteListener(task -> {" is 145.,114
