Project Name,Package Name,Architecture Smell,Cause of the Smell
CodeSmells-in-application-MVC-4,ua.hanasaka.mvc2.presenter,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ua.hanasaka.mvc2.presenter; ua.hanasaka.mvc2.view
CodeSmells-in-application-MVC-4,ua.hanasaka.mvc2.view,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ua.hanasaka.mvc2.view; ua.hanasaka.mvc2.presenter
