Project Name,Package Name,Architecture Smell,Cause of the Smell
30_spring-samples-master,org.pimpmyshirt.domain,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ColorEditor; ColorEditorTest]; [Entity; Print; Shirt; ShirtRating; TextPrint; ShirtRatingTest; ImagePrint]. LCC (Lack of Component Cohesion) = 0.22
30_spring-samples-master,org.pimpmyshirt.web,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ComposeShirtAction; ShirtFbo; ShirtFboValidator; ImageController]; [RateShirtsController; RateShirtsControllerTest]. LCC (Lack of Component Cohesion) = 0.33
30_spring-samples-master,com.ervacon.springbank.domain,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 51
30_spring-samples-master,com.ervacon.springbank.domain,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.ervacon.springbank.domain; com.ervacon.springbank.sampledata
30_spring-samples-master,com.ervacon.springbank.domain,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.ervacon.springbank.domain; com.ervacon.springbank.sampledata; com.ervacon.springbank.user
30_spring-samples-master,com.ervacon.springbank.domain,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.ervacon.springbank.sampledata
30_spring-samples-master,com.ervacon.springbank.sampledata,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.ervacon.springbank.sampledata; com.ervacon.springbank.domain
30_spring-samples-master,com.ervacon.springbank.sampledata,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.ervacon.springbank.sampledata; com.ervacon.springbank.user; com.ervacon.springbank.domain
30_spring-samples-master,com.ervacon.springbank.user,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.ervacon.springbank.user; com.ervacon.springbank.domain; com.ervacon.springbank.sampledata
30_spring-samples-master,com.ervacon.springbank.user,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [User; UserServiceImpl; UserWrappingAuthenticationToken; HibernateUserRepository; InMemoryUserRepository; JdbcUserRepository; UserRepository; UserServiceImpl; UserWrappingAuthenticationToken; UserRepositoryTest; UserService; TransactionSanityTest; UserServiceException]; [User]; [UserService]; [UserServiceException]. LCC (Lack of Component Cohesion) = 0.25
30_spring-samples-master,com.ervacon.springbank.web,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BalancesController]; [LoggingListener]; [PaymentPropertyEditorRegistrar]; [SessionController]; [BeneficiariesFlowExecutionTests]; [EnterPaymentFlowExecutionTests]; [EnterPaymentFlowUseCaseTests]; [BalancesController]; [LoggingListener]; [PaymentPropertyEditorRegistrar]; [SessionController]; [BeneficiariesFlowExecutionTest]; [EnterPaymentFlowExecutionTest]; [EnterPaymentFlowUseCaseTest]. LCC (Lack of Component Cohesion) = 1.0
