Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies,CustomScrollActions,nestedScrollTo,Long Statement,The length of the statement "return Matchers.allOf(isDescendantOfA(isAssignableFrom(NestedScrollView.class))`withEffectiveVisibility(ViewMatchers.Visibility.VISIBLE));" is 138.,25
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies,CustomScrollActions,nestedScrollTo,Long Statement,The length of the statement "throw new PerformException.Builder().withActionDescription(this.getDescription()).withViewDescription(HumanReadables.describe(view)).withCause(e).build();" is 154.,25
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies,CustomScrollActions,getConstraints,Long Statement,The length of the statement "return Matchers.allOf(isDescendantOfA(isAssignableFrom(NestedScrollView.class))`withEffectiveVisibility(ViewMatchers.Visibility.VISIBLE));" is 138.,28
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies,CustomScrollActions,perform,Long Statement,The length of the statement "throw new PerformException.Builder().withActionDescription(this.getDescription()).withViewDescription(HumanReadables.describe(view)).withCause(e).build();" is 154.,41
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies,TestUtils,getMovie,Long Statement,The length of the statement "return new Movie(movieId`"8.7"`"Avengers: Infinity War"`"https://image.tmdb.org/t/p/w500/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg"`"https://image.tmdb.org/t/p/w500/bOGkgRGdhrBYJSLpXaxhXVstddV.jpg"`"As the Avengers and their allies have continued to protect the world from " + "threats too large for any one hero to handle` a new danger has emerged " + "from the cosmic shadows: Thanos. A despot of intergalactic infamy` "+ "his goal is to collect all six Infinity Stones` artifacts "+ "of unimaginable power` and use them to inflict his twisted will on all "+ "of reality. Everything the Avengers have fought for has led up to this "+ "moment - the fate of Earth and existence itself has never been "+ "more uncertain."`"2018-04-25");" is 725.,7
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies.platform.di.app,AppModule,provideService,Long Statement,The length of the statement "return new Retrofit.Builder().baseUrl("https://api.themoviedb.org/3/").addConverterFactory(GsonConverterFactory.create()).build().create(MovieService.class);" is 157.,41
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies.platform.views,MovieListActivityTest,givenAListOfMovies,Magic Number,The method contains a magic number: 5,94
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies.data.entity.mapper,EntityDataMapper,transform,Long Statement,The length of the statement "movie=new Movie(movieEntity.id`movieEntity.voteAverage`movieEntity.title`completeUrl(movieEntity.posterPath)`completeUrl(movieEntity.backdropPath)`movieEntity.overview`movieEntity.releaseDate);" is 193.,31
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies.data.entity,MovieEntity,MovieEntity,Long Parameter List,The method has 14 parameters. ,51
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies.data.source.local,MoviesDatabaseHelper,onCreate,Long Statement,The length of the statement "String CREATE_MOVIE_TABLE="CREATE TABLE " + TABLE_NAME + "("+ COLUMN_ID+ " INTEGER PRIMARY KEY`"+ COLUMN_VOTE_COUNT+ " INTEGER`"+ COLUMN_VIDEO+ " INTEGER`"+ COLUMN_VOTE_AVERAGE+ " TEXT`"+ COLUMN_TITLE+ " TEXT`"+ COLUMN_POPULARITY+ " REAL`"+ COLUMN_POSTERPATH+ " TEXT`"+ COLUMN_ORIGINAL_LANGUAGE+ " TEXT`"+ COLUMN_ORIGINAL_TITLE+ " TEXT`"+ COLUMN_GENRE_IDS+ " TEXT`"+ COLUMN_BACKDROPPATH+ " TEXT`"+ COLUMN_ADULT+ " INTEGER` "+ COLUMN_OVERVIEW+ " TEXT`"+ COLUMN_RELEASEDATE+ " TEXT"+ ")";" is 486.,23
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies.data.source.remote,MockWebServerTest,enqueueMockResponse,Magic Number,The method contains a magic number: 200,37
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies.data.source.remote,MoviesRemoteDataSourceImplTest,setUp,Long Statement,The length of the statement "MovieService movieService=new Retrofit.Builder().baseUrl(mockWebServerEndpoint).addConverterFactory(GsonConverterFactory.create()).build().create(MovieService.class);" is 166.,18
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies.data.source.remote,MoviesRemoteDataSourceImplTest,parseDataProperlyWhenReceivingAMovieList,Magic Number,The method contains a magic number: 200,39
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies.data.source.remote,MoviesRemoteDataSourceImplTest,parseDataProperlyWhenReceivingAMovieList,Magic Number,The method contains a magic number: 20,39
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies.data.source.remote,MoviesRemoteDataSourceImplTest,firesServiceExceptionWhenResponseIsNotSuccesful,Magic Number,The method contains a magic number: 401,49
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies.data.source.remote,MoviesRemoteDataSourceImplTest,assertTaskContainsExpectedValues,Magic Number,The method contains a magic number: 1282,56
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies.data.source.remote,MoviesRemoteDataSourceImplTest,assertTaskContainsExpectedValues,Magic Number,The method contains a magic number: 383498,56
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies.domain,Movie,Movie,Long Parameter List,The method has 7 parameters. ,18
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies.domain,Movie,equals,Long Statement,The length of the statement "return Objects.equals(id`that.id) && Objects.equals(voteAverage`that.voteAverage) && Objects.equals(title`that.title)&& Objects.equals(posterPath`that.posterPath)&& Objects.equals(backdropPath`that.backdropPath)&& Objects.equals(overview`that.overview)&& Objects.equals(releaseDate`that.releaseDate);" is 300.,57
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies.domain.interactor,UseCase,execute,Long Statement,The length of the statement "final Single<Observer> observable=this.buildUseCaseObservable(params).observeOn(uiScheduler.getScheduler()).subscribeOn(jobScheduler.getScheduler());" is 149.,23
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies.presentation.formatters,Formatter,formatDate,Empty catch clause,The method has an empty catch block.,20
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies.presentation.presenters,BasePresenterTest,checkIfTheSizeIsCorrect,Magic Number,The method contains a magic number: 3,48
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies.utils,TestUtils,createMainMovieEntity,Long Statement,The length of the statement "return new MovieEntity(VOTE_COUNT`MAIN_MOVIE_ID`MOVIE_VIDEO`MAIN_VOTE_AVERAGE`MAIN_MOVIE_TITLE`MOVIE_POPULARITY`POSTER_PATH`MAIN_ORIGINAL_LANGUAGE`MAIN_ORIGINAL_TITLE`GENRE_IDS`BACKDROPPATH`ADULT`OVERVIEW`MAIN_RELEASE_DATE);" is 224.,19
48_Movies-MVP-Java-master,com.joseangelmaneiro.movies.utils,TestUtils,createMovieEntityList,Long Statement,The length of the statement "MovieEntity movie=new MovieEntity(VOTE_COUNT`i`MOVIE_VIDEO`MAIN_VOTE_AVERAGE`MAIN_MOVIE_TITLE`MOVIE_POPULARITY`POSTER_PATH`MAIN_ORIGINAL_LANGUAGE`MAIN_ORIGINAL_TITLE`GENRE_IDS`BACKDROPPATH`ADULT`OVERVIEW`MAIN_RELEASE_DATE);" is 223.,29
