Project Name,Package Name,Architecture Smell,Cause of the Smell
HarryPotter-master,com.neeraja.harrypotter.ui.houses,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.neeraja.harrypotter.presentation.viewmodels
HarryPotter-master,com.neeraja.harrypotter.di,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RemoteModule_ProvidesRetrofitFactory; Factory; DaggerHarryPotterAppComponent; HousesActivitySubcomponentImpl; HousesFragmentSubcomponentImpl; IdentityModule_ProvideApiKeyFactory; RemoteModule_ProvidesHarryPotterServiceFactory; DomainModule_ProvidesBackgroundSchedulerFactory; DomainModule_ProvidesForegroundSchedulerFactory; AppModule_ContributeMainFragment; HousesFragmentSubcomponent; DomainModule; HarryPotterAppComponent; Builder; RemoteModule; IdentityModule; AppModule_ContributesHousesActivity$app_debug; HousesActivitySubcomponent; HousesActivitySubcomponentFactory; Builder; HousesFragmentSubcomponentFactory]; [Factory]; [AppModule]; [Binders]; [PresentationModule]; [DataModule]. LCC (Lack of Component Cohesion) = 0.23
HarryPotter-master,com.neeraja.harrypotter.domain.usecases,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.neeraja.harrypotter.domain.utils
HarryPotter-master,com.neeraja.harrypotter.domain.usecases,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GetCharacterByIdTask_Factory; GetCharacterByIdTask; GetHouseByIdTask_Factory; GetHouseByIdTask; Params; GetHouseByIdTest; GetCharacterByIdTest]; [GetAllHousesTask_Factory; GetAllHousesTask; GetHousesTest]; [Params]. LCC (Lack of Component Cohesion) = 0.27
HarryPotter-master,com.neeraja.harrypotter.presentation.viewmodels,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CharacterViewModel_Factory; CharacterViewModel]; [HouseDetailViewModel_Factory; HouseDetailViewModel]; [HousesViewModel_Factory; HousesViewModel]. LCC (Lack of Component Cohesion) = 0.5
