Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel,ExampleInstrumentedTest,useAppContext,4,1,0,19
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel,ExampleUnitTest,addition_isCorrect,3,1,0,13
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,AboutActivity,onCreate,4,1,1,14
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckOutActivity,onCreate,20,3,1,21
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutOnewayFragment,CheckoutOnewayFragment,2,1,0,70
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutOnewayFragment,onCreateView,28,1,3,75
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutOnewayFragment,onClick,3,1,1,104
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutOnewayFragment,onActivityCreated,6,1,1,115
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutOnewayFragment,displaySelectedFlightInfo,25,2,1,124
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutOnewayFragment,bookFlight,19,2,1,155
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutOnewayFragment,bookFlightDialog,11,1,0,189
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutOnewayFragment,onClick,4,1,2,195
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutOnewayFragment,flightAlreadyBookedAlert,11,1,0,204
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutOnewayFragment,onClick,4,1,2,210
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutOnewayFragment,clientID,5,1,0,220
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutRoundFragment,CheckoutRoundFragment,2,1,0,89
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutRoundFragment,onCreateView,40,1,3,94
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutRoundFragment,onClick,3,1,1,140
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutRoundFragment,onActivityCreated,10,1,1,151
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutRoundFragment,displaySelectedOutboundFlightInfo,24,2,1,166
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutRoundFragment,displaySelectedReturnFlightInfo,24,2,1,195
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutRoundFragment,bookFlight,24,5,1,223
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutRoundFragment,bookFlightDialog,11,1,0,261
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutRoundFragment,onClick,4,1,2,267
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutRoundFragment,roundFlightAlreadyBookedAlert,11,1,0,278
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutRoundFragment,onClick,4,1,2,284
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,CheckoutRoundFragment,clientID,5,1,0,295
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,EditProfileActivity,onCreate,17,1,1,40
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,EditProfileActivity,onClick,3,1,1,57
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,EditProfileActivity,loadProfileInfo,23,2,0,66
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,EditProfileActivity,updateProfile,16,2,0,101
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,EditProfileActivity,clientID,5,1,0,132
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,EditProfileActivity,updateProfileDialog,11,1,0,138
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,EditProfileActivity,onClick,4,1,2,144
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,EditProfileActivity,isValidUserInput,43,11,0,154
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,EditProfileActivity,onDestroy,10,1,0,200
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,FlightDetailActivity,onCreate,35,1,1,57
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,FlightDetailActivity,onClick,3,1,1,96
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,FlightDetailActivity,displaySelectedFlightInfo,31,3,1,105
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,FlightDetailActivity,cancelFlight,15,2,0,142
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,FlightDetailActivity,cancelFlightAlert,16,1,0,166
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,FlightDetailActivity,onClick,5,1,2,172
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,FlightDetailActivity,onClick,2,1,2,179
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,FlightDetailActivity,clientID,5,1,0,190
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,ItineraryActivity,onCreate,32,2,1,37
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,ItineraryActivity,onItemClick,6,1,4,77
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,ItineraryActivity,clientID,5,1,0,98
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,LaunchActivity,onCreate,15,1,1,21
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,LaunchActivity,run,5,1,0,33
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,LoginActivity,onCreate,30,2,1,43
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,LoginActivity,onClick,3,1,1,68
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,LoginActivity,onClick,4,1,1,74
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,LoginActivity,attemptLogin,32,3,0,83
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,LoginActivity,isValidUserInput,11,3,0,134
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,LoginActivity,onDestroy,14,3,0,147
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,LoginActivity,onSaveInstanceState,3,1,1,166
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,LoginActivity,onRestoreInstanceState,3,1,1,171
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,onCreate,114,6,1,117
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,onTabChanged,3,1,1,163
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,onClick,3,1,1,209
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,onClick,3,1,1,220
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,onClick,3,1,1,230
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,onClick,3,1,1,240
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,onClick,3,1,1,248
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,onClick,3,1,1,257
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,onClick,3,1,1,265
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,onClick,12,5,1,274
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,onBackPressed,9,2,0,299
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,onCreateOptionsMenu,4,1,1,309
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,onOptionsItemSelected,7,2,1,316
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,onNavigationItemSelected,28,6,1,331
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,oneWayClassPickerDialog,21,1,0,368
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,onClick,4,1,2,377
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,onClick,2,1,2,387
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,onClick,2,1,2,393
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,roundClassPickerDialog,21,1,0,407
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,onClick,4,1,2,416
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,onClick,2,1,2,426
CodeSmells-in-application-MVC-1,com.mentesnot.easytravel.controllers,MainActivity,onClick,2,1,2,432
