Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.custom.action,NavigationViewActions,navigateTo,Long Statement,The length of the statement "throw new PerformException.Builder().withActionDescription(this.getDescription()).withViewDescription(HumanReadables.describe(view)).withCause(new RuntimeException(getErrorMessage(menu`view))).build();" is 201.,47
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.custom.action,NavigationViewActions,navigateTo,Long Statement,The length of the statement "return allOf(isAssignableFrom(NavigationView.class)`withEffectiveVisibility(ViewMatchers.Visibility.VISIBLE)`isDisplayingAtLeast(90));" is 134.,47
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.custom.action,NavigationViewActions,navigateTo,Magic Number,The method contains a magic number: 90,47
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.custom.action,NavigationViewActions,perform,Long Statement,The length of the statement "throw new PerformException.Builder().withActionDescription(this.getDescription()).withViewDescription(HumanReadables.describe(view)).withCause(new RuntimeException(getErrorMessage(menu`view))).build();" is 201.,67
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.custom.action,NavigationViewActions,getConstraints,Long Statement,The length of the statement "return allOf(isAssignableFrom(NavigationView.class)`withEffectiveVisibility(ViewMatchers.Visibility.VISIBLE)`isDisplayingAtLeast(90));" is 134.,119
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.custom.action,NavigationViewActions,getConstraints,Magic Number,The method contains a magic number: 90,119
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.data.source.local,TasksDaoTest,assertTask,Long Parameter List,The method has 5 parameters. ,170
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.data.source.local,TasksLocalDataSourceTest,getTasks_retrieveSavedTasks,Magic Number,The method contains a magic number: 2,210
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.data.source.local,TasksLocalDataSourceTest,onTasksLoaded,Magic Number,The method contains a magic number: 2,220
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.tasks,AppNavigationTest,clickOnAndroidHomeIcon_OpensNavigation,Long Statement,The length of the statement "onView(withContentDescription(getToolbarNavigationContentDescription(mActivityTestRule.getActivity()`R.id.toolbar))).perform(click());" is 134.,83
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.tasks,AppNavigationTest,assertPressingBackExitsApp,Empty catch clause,The method has an empty catch block.,129
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.tasks,TasksScreenTest,orientationChange_DuringEdit_ChangePersists,Magic Number,The method contains a magic number: 21,438
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.tasks,TasksScreenTest,orientationChange_DuringEdit_NoDuplicate,Magic Number,The method contains a magic number: 21,461
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.tasks,TasksActivity,setupDrawerContent,Missing default,The following switch statement is missing a default case: switch (menuItem.getItemId()) {,104
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.tasks,TasksActivity,onNavigationItemSelected,Missing default,The following switch statement is missing a default case: switch (menuItem.getItemId()) {,107
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.tasks,TasksFragment,onCreateView,Long Statement,The length of the statement "final ScrollChildSwipeRefreshLayout swipeRefreshLayout=(ScrollChildSwipeRefreshLayout)root.findViewById(R.id.refresh_layout);" is 125.,103
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.tasks,TasksFragment,onCreateView,Long Statement,The length of the statement "swipeRefreshLayout.setColorSchemeColors(ContextCompat.getColor(getActivity()`R.color.colorPrimary)`ContextCompat.getColor(getActivity()`R.color.colorAccent)`ContextCompat.getColor(getActivity()`R.color.colorPrimaryDark));" is 221.,103
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.tasks,TasksFragment,showFilteringPopUpMenu,Missing default,The following switch statement is missing a default case: switch (item.getItemId()) {,183
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.tasks,TasksFragment,onMenuItemClick,Missing default,The following switch statement is missing a default case: switch (item.getItemId()) {,189
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.tasks,TasksFragment,getView,Long Statement,The length of the statement "rowView.setBackgroundDrawable(viewGroup.getContext().getResources().getDrawable(R.drawable.list_completed_touch_feedback));" is 123.,389
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.tasks,TasksAdapter,getView,Long Statement,The length of the statement "rowView.setBackgroundDrawable(viewGroup.getContext().getResources().getDrawable(R.drawable.list_completed_touch_feedback));" is 123.,389
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.tasks,TasksPresenter,loadTasks,Complex Method,Cyclomatic complexity of the method is 13,74
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.tasks,TasksPresenter,loadTasks,Missing default,The following switch statement is missing a default case: switch (mCurrentFiltering) {,74
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.tasks,TasksPresenter,onTasksLoaded,Complex Method,Cyclomatic complexity of the method is 10,91
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.tasks,TasksPresenter,onTasksLoaded,Missing default,The following switch statement is missing a default case: switch (mCurrentFiltering) {,91
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.tasks,TasksPresenter,showFilterLabel,Missing default,The following switch statement is missing a default case: switch (mCurrentFiltering) {,157
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.tasks,TasksPresenter,processEmptyTasks,Missing default,The following switch statement is missing a default case: switch (mCurrentFiltering) {,171
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.tasks,TasksPresenterTest,setupTasksPresenter,Long Statement,The length of the statement "TASKS=Lists.newArrayList(new Task("Title1"`"Description1")`new Task("Title2"`"Description2"`true)`new Task("Title3"`"Description3"`true));" is 138.,62
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.tasks,TasksPresenterTest,loadAllTasksFromRepositoryAndLoadIntoView,Magic Number,The method contains a magic number: 3,88
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.tasks,TasksPresenterTest,loadCompletedTasksFromRepositoryAndLoadIntoView,Magic Number,The method contains a magic number: 2,127
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp,TestUtils,rotateOrientation,Missing default,The following switch statement is missing a default case: switch (currentOrientation) {,46
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp,Injection,provideTasksRepository,Long Statement,The length of the statement "return TasksRepository.getInstance(FakeTasksRemoteDataSource.getInstance()`TasksLocalDataSource.getInstance(new AppExecutors()`database.taskDao()));" is 148.,38
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp,Injection,provideTasksRepository,Long Statement,The length of the statement "return TasksRepository.getInstance(TasksRemoteDataSource.getInstance()`TasksLocalDataSource.getInstance(new AppExecutors()`database.taskDao()));" is 144.,37
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.addedittask,AddEditTaskScreenTest,withToolbarTitle,Empty catch clause,The method has an empty catch block.,153
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.addedittask,AddEditTaskScreenTest,matchesSafely,Empty catch clause,The method has an empty catch block.,167
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.addedittask,AddEditTaskActivity,onCreate,Long Identifier,The length of the field SHOULD_LOAD_DATA_FROM_REPO_KEY is 30.,45
52_MVPBasics-master,com.example.android.architecture.blueprints.todoapp.addedittask,AddEditTaskActivity,onCreate,Long Statement,The length of the statement "AddEditTaskFragment addEditTaskFragment=(AddEditTaskFragment)getSupportFragmentManager().findFragmentById(R.id.contentFrame);" is 125.,45
