Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
android_mvc_tutorial-master,com.techyourchance.android_mvc_tutorial.common.dependencyinjection,ActivityCompositionRoot,getScreenNavigator,Long Statement,The length of the statement "mScreensNavigator=new ScreensNavigator(new FragNavController(mActivity.getSupportFragmentManager()`R.id.frame_contents));" is 121.,57
android_mvc_tutorial-master,com.techyourchance.android_mvc_tutorial.screens.main,MainActivity,getCompositionRoot,Long Statement,The length of the statement "mActivityCompositionRoot=new ActivityCompositionRoot(((MvcTutorialApplication)getApplication()).getApplicationCompositionRoot()`this);" is 134.,34
android_mvc_tutorial-master,com.techyourchance.android_mvc_tutorial.screens.smsall,SmsAllViewMvcImpl,SmsAllViewMvcImpl,Long Identifier,The length of the field mViewPermissionDeniedDontAskAgain is 33.,25
android_mvc_tutorial-master,com.techyourchance.android_mvc_tutorial.screens.smsall,SmsAllViewMvcImpl,showPermissionDeniedAndDontAskAgain,Long Identifier,The length of the field mViewPermissionDeniedDontAskAgain is 33.,62
android_mvc_tutorial-master,com.techyourchance.android_mvc_tutorial.screens.smsall,SmsAllViewMvcImpl,hideAllViews,Long Identifier,The length of the field mViewPermissionDeniedDontAskAgain is 33.,78
android_mvc_tutorial-master,com.techyourchance.android_mvc_tutorial.sms,FetchSmsUseCaseSync,fetchSms,Long Statement,The length of the statement "cursor=mContentResolver.query(Uri.parse(CONTENT_URI)`COLUMNS_OF_INTEREST`selectionStringForIds(smsIds)`selectionArgsForIds(smsIds)`DEFAULT_SORT_ORDER);" is 151.,34
android_mvc_tutorial-master,com.techyourchance.android_mvc_tutorial.sms,FetchSmsUseCaseSync,selectionStringForIds,Magic Number,The method contains a magic number: 2,55
android_mvc_tutorial-master,com.techyourchance.android_mvc_tutorial.sms,FetchSmsUseCaseSync,extractSmsFromCursorAndClose,Long Statement,The length of the statement "result.add(new SmsMessage(cursor.getLong(cursor.getColumnIndexOrThrow("_id"))`cursor.getString(cursor.getColumnIndexOrThrow("address"))`cursor.getString(cursor.getColumnIndexOrThrow("body"))`cursor.getString(cursor.getColumnIndexOrThrow("date"))`cursor.getInt(cursor.getColumnIndexOrThrow("read")) == 0));" is 305.,80
android_mvc_tutorial-master,com.techyourchance.android_mvc_tutorial.sms,SmsMessage,SmsMessage,Long Parameter List,The method has 5 parameters. ,14
