Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
mvp33_Moxy-master,com.arellomobile.mvp.compiler,ErrorProcessor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
mvp33_Moxy-master,com.arellomobile.mvp.compiler,ViewStateClassTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CompilerTest
mvp33_Moxy-master,com.arellomobile.mvp.compiler,ViewStateProviderClassTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CompilerTest
mvp33_Moxy-master,com.arellomobile.mvp.compiler,MvpCompiler,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MOXY_REFLECTOR_DEFAULT_PACKAGE; OPTION_MOXY_REFLECTOR_PACKAGE; sMessager; sTypeUtils; sElementUtils; sOptions
mvp33_Moxy-master,com.arellomobile.mvp.compiler,MvpCompiler,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: InjectViewStateProcessor; MvpCompiler; InjectPresenterProcessor; Util; PresenterBinderClassGenerator; ViewInterfaceProcessor; PresenterInjectorRules
mvp33_Moxy-master,com.arellomobile.mvp.compiler,PresentersBinderErrorTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CompilerTest
mvp33_Moxy-master,com.arellomobile.mvp.compiler,PresentersBinderTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: targetClassName
mvp33_Moxy-master,com.arellomobile.mvp.compiler,PresentersBinderTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CompilerTest
mvp33_Moxy-master,com.arellomobile.mvp.compiler,ViewStateProviderTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: presenterClassName
mvp33_Moxy-master,com.arellomobile.mvp.compiler,ViewStateProviderTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CompilerTest
mvp33_Moxy-master,com.arellomobile.mvp.compiler,ViewStateTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: viewClassName
mvp33_Moxy-master,com.arellomobile.mvp.compiler,ViewStateTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): CompilerTest
mvp33_Moxy-master,com.arellomobile.mvp.inheritance_test.resources,ChildViewWithoutInject,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
mvp33_Moxy-master,com.arellomobile.mvp.inheritance_test.resources,ChildViewWithoutInject,Multipath Hierarchy,The tool detected the smell in this class because the class inherits another class directly as well as indirectly. The redundant inherited supertype is: TestView
mvp33_Moxy-master,com.arellomobile.mvp.inheritance_test.resources,SuperViewWithInject,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: presenter
mvp33_Moxy-master,com.arellomobile.mvp.inheritance_test.resources,SuperViewWithInject,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: presenter
mvp33_Moxy-master,com.arellomobile.mvp.inheritance_test.resources,TestPresenter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
mvp33_Moxy-master,com.arellomobile.mvp.inheritance_test.resources,ViewWithoutInject,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: delegate
mvp33_Moxy-master,com.arellomobile.mvp.inheritance_test.resources,ViewWithoutInject,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: delegate
mvp33_Moxy-master,com.arellomobile.mvp.memory_leak_test.resources,TestPresenter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
mvp33_Moxy-master,com.arellomobile.mvp.memory_leak_test.resources,TestViewImplementation,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: presenter; delegate
mvp33_Moxy-master,com.arellomobile.mvp.memory_leak_test.resources,TestViewImplementation,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: presenter; delegate
mvp33_Moxy-master,com.arellomobile.mvp.provide_methods_test.resources,LocalProvidedView,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: oneLocalPresenter; oneLocalProvidedPresenter; delegate
mvp33_Moxy-master,com.arellomobile.mvp.provide_methods_test.resources,SuperView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
mvp33_Moxy-master,com.arellomobile.mvp.provide_methods_test.resources,SuperView,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: oneLocalPresenter; oneLocalProvidedPresenter; secondLocalPresenter; oneGlobalPresenter; secondGlobalPresenter; delegate
mvp33_Moxy-master,com.arellomobile.mvp.provide_methods_test.resources,SuperView,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): TestView
mvp33_Moxy-master,com.arellomobile.mvp.provide_methods_test.resources,TestPresenter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
mvp33_Moxy-master,com.arellomobile.mvp.provide_methods_test.resources,TwoLocalProvidedView,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: oneLocalPresenter; secondLocalPresenter; delegate
mvp33_Moxy-master,com.arellomobile.mvp.provide_methods_test.resources,TwoWeakWithDiffPresenterIdView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
mvp33_Moxy-master,com.arellomobile.mvp.provide_methods_test.resources,TwoWeakWithDiffPresenterIdView,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: oneWeakPresenter; secondWeakPresenter; delegate
mvp33_Moxy-master,com.arellomobile.mvp.provide_methods_test.resources,TwoWeakWithDiffPresenterIdView,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): TestView
