Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
DebugRank-master,com.grapecity.debugrank.ui.solve,SolveViewBehaviorTests,uploadNoInternet,Long Statement,The length of the statement "onView(withText(R.string.internet_error)).inRoot(withDecorView(not(is(mActivityRule.getActivity().getWindow().getDecorView())))).check(matches(isDisplayed()));" is 159.,133
DebugRank-master,com.grapecity.debugrank.ui.solve,SolveViewBehaviorTests,checkTestCasesWhenCodeDoesNotCompile,Long Statement,The length of the statement "onView(withRecyclerView(R.id.recyclerView).atPositionOnView(0`R.id.testcase)).check(matches(withText("Compile Error(s)")));" is 123.,170
DebugRank-master,com.grapecity.debugrank.ui.solve,SolveViewBehaviorTests,testCaseAt,Long Parameter List,The method has 7 parameters. ,198
DebugRank-master,com.grapecity.debugrank.ui.solve,SolveViewBehaviorTests,testCaseAt,Long Statement,The length of the statement "onView(withRecyclerView(R.id.recyclerView).atPositionOnView(position`R.id.expectedOutput)).check(matches(withText(expectedOutput)));" is 132.,198
DebugRank-master,com.grapecity.debugrank.ui.solve,SolveActivity,codeCompiled,Complex Conditional,The conditional expression result != null && !passed && numberPassedTestCases == 0 && result.size() > 0 && result.get(0).isCompileError() is complex.,226
DebugRank-master,com.grapecity.debugrank.ui.solve,SolveActivity,codeCompiled,Long Statement,The length of the statement "updateResultTabTitle(String.format(getResources().getString(R.string.passed_test_cases)`numberPassedTestCases`puzzle.answers.length));" is 134.,226
DebugRank-master,com.grapecity.debugrank.ui.solve,SolveActivity,showDialog,Long Statement,The length of the statement "builder.title(String.format(getResources().getString(R.string.points).replaceAll("\n"`" ")`puzzle.points)).customView(likeView`false);" is 134.,269
DebugRank-master,com.grapecity.debugrank.ui.solve,SolveActivity,showcaseStep2Clicked,Magic Number,The method contains a magic number: 2500,395
DebugRank-master,com.grapecity.debugrank.ui.solve,SolveActivity,showShowcase,Long Statement,The length of the statement "compileShowcaseView=new ShowcaseView.Builder(this).withNewStyleShowcase().setStyle(R.style.CustomShowcaseTheme2).setTarget(viewTarget).setContentTitle(titleResId).setContentText(descriptionResId).replaceEndButton(button).build();" is 229.,429
DebugRank-master,com.grapecity.debugrank.ui.languages,LanguagesViewBehaviorTests,seeIfToolbarSet,Long Statement,The length of the statement "onView(allOf(withId(R.id.bugs)`withParent(withId(R.id.toolbarBugPointsTimer)))).check(matches(withText(String.valueOf(aggregatedBugsPoints.bugs))));" is 148.,66
DebugRank-master,com.grapecity.debugrank.ui.languages,LanguagesViewBehaviorTests,seeIfToolbarSet,Long Statement,The length of the statement "onView(allOf(withId(R.id.points)`withParent(withId(R.id.toolbarBugPointsTimer)))).check(matches(withText(String.valueOf(aggregatedBugsPoints.points))));" is 152.,66
DebugRank-master,com.grapecity.debugrank.ui.languages,LanguagesViewBehaviorTests,listProgrammingLanguages,Long Statement,The length of the statement "onView(withRecyclerView(R.id.recyclerView).atPositionOnView(position`R.id.languageName)).check(matches(withText(language.name)));" is 129.,112
DebugRank-master,com.grapecity.debugrank.ui.languages,LanguagesViewBehaviorTests,listProgrammingLanguages,Long Statement,The length of the statement "onView(withRecyclerView(R.id.recyclerView).atPositionOnView(position`R.id.languageIcon)).check(mockDrawable(language.key));" is 123.,112
DebugRank-master,com.grapecity.debugrank.ui.puzzles,PuzzlesViewBehaviorTests,seeIfToolbarSet,Long Statement,The length of the statement "onView(allOf(withId(R.id.bugs)`withParent(withId(R.id.toolbarBugPointsTimer)))).check(matches(withText(String.valueOf(aggregatedBugsPoints.bugs))));" is 148.,68
DebugRank-master,com.grapecity.debugrank.ui.puzzles,PuzzlesViewBehaviorTests,seeIfToolbarSet,Long Statement,The length of the statement "onView(allOf(withId(R.id.points)`withParent(withId(R.id.toolbarBugPointsTimer)))).check(matches(withText(String.valueOf(aggregatedBugsPoints.points))));" is 152.,68
DebugRank-master,com.grapecity.debugrank.ui.puzzles,PuzzlesViewBehaviorTests,listPuzzles,Long Statement,The length of the statement "onView(withRecyclerView(R.id.recyclerView).atPositionOnView(position`R.id.puzzleName)).check(matches(withText(puzzle.name)));" is 125.,126
